state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OSUN,EDE NORTH,ISIBO/BUARI-ISOLA,CUSTOMARY COURT,29/07/08/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/08/pu/001/001-1677367112.pdf,false
OSUN,EDE NORTH,ISIBO/BUARI-ISOLA,SOORO/ABANGBE INF. OF MOSQUE,29/07/08/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/08/pu/008/008-1677368861.pdf,false
OSUN,EDE NORTH,ISIBO/BUARI-ISOLA,IN FRONT OF TOWN HALL,29/07/08/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/08/pu/004/004-1677368236.pdf,false
OSUN,EDE NORTH,ISIBO/BUARI-ISOLA,DAUDU FOLARIN COMP.,29/07/08/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/08/pu/005/005-1677368077.pdf,false
OSUN,EDE NORTH,ISIBO/BUARI-ISOLA,BESIDE DAUDU OLAGUNJU'S MOSQUE,29/07/08/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/08/pu/012/012-1677367415.pdf,false
OSUN,EDE NORTH,ISIBO/BUARI-ISOLA,"10, OTUN OMIDE SQUARE",29/07/08/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/08/pu/002/002-1677367127.pdf,false
OSUN,EDE NORTH,ISIBO/BUARI-ISOLA,150A STATION ROAD EDE,29/07/08/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/08/pu/006/006-1677366945.pdf,false
OSUN,EDE NORTH,ISIBO/BUARI-ISOLA,PERE LANE I,29/07/08/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/08/pu/010/010-1677366756.pdf,false
OSUN,EDE NORTH,ISIBO/BUARI-ISOLA,BESIDE OLUBONKU BRIDGE,29/07/08/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/08/pu/007/007-1677366058.pdf,false
OSUN,EDE NORTH,ISIBO/BUARI-ISOLA,"56, AKODA COMP.S AGATE ROAD",29/07/08/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/08/pu/009/009-1677365933.pdf,false
OSUN,EDE NORTH,ISIBO/BUARI-ISOLA,BESIDE THE TOWN HALL,29/07/08/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/08/pu/003/003-1677365470.pdf,false
OSUN,EDE NORTH,ISIBO/BUARI-ISOLA,PERE LANE II OPEN SPACE,29/07/08/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/08/pu/011/011-1677365429.pdf,false
OSUN,EDE NORTH,ISIBO/BUARI-ISOLA,AGBALA (BEH. COOP. BUILDING),29/07/08/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/08/pu/013/013-1677359358.pdf,false
