state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OSUN,EDE NORTH,APASO,"133, OJULAREDE ST.(OPEN SPACE)",29/07/09/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/09/pu/009/009-1677383837.pdf,false
OSUN,EDE NORTH,APASO,"133, OJULAREDE ST. ONISO COMP.",29/07/09/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/09/pu/008/008-1677382992.pdf,false
OSUN,EDE NORTH,APASO,AGBOJA COMP.,29/07/09/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/09/pu/005/005-1677382251.pdf,false
OSUN,EDE NORTH,APASO,"11, LAOYE",29/07/09/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/09/pu/001/001-1677380641.pdf,false
OSUN,EDE NORTH,APASO,1 AYOPE COMP.,29/07/09/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/09/pu/003/003-1677380484.pdf,false
OSUN,EDE NORTH,APASO,"18, JARIOGUN COMP.",29/07/09/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/09/pu/004/004-1677379569.pdf,false
OSUN,EDE NORTH,APASO,"32, APASO JUNCTION EDE",29/07/09/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/09/pu/010/010-1677378009.pdf,false
OSUN,EDE NORTH,APASO,OPEN SPACE AGUNLEYINJU COMP.,29/07/09/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/09/pu/006/006-1677377935.pdf,false
OSUN,EDE NORTH,APASO,INFRONT OTANIOKU COMP.,29/07/09/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/09/pu/002/002-1677376792.pdf,false
OSUN,EDE NORTH,APASO,"28, AGBERI COMP. OPP. MOSQUE",29/07/09/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/09/pu/007/007-1677375791.pdf,false
