state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OSUN,IFELODUN,OKEBA IKIRUN,"OPEN SPACE ADEJUMO JUNCTION, BESIDE SALVATION COLLEGE, IKIRUN",29/14/07/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3717/ward/24531/pu/126193/126193-1677775334.pdf,true
OSUN,IFELODUN,OKEBA IKIRUN,ESORUN SQUARE II,29/14/07/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3717/ward/24531/pu/98223/98223-1677773879.pdf,false
OSUN,IFELODUN,OKEBA IKIRUN,"OPEN SPACE, ROUND ABOUT IKIRUN, INFRONT OF OKANLAWON FILLING STATION, IKIRUN",29/14/07/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3717/ward/24531/pu/126189/126189-1677773095.pdf,false
OSUN,IFELODUN,OKEBA IKIRUN,"OPEN SPACE . EKOENDE ROAD, INFRONT OF POLARIS BANK, IKIRUN",29/14/07/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3717/ward/24531/pu/126185/126185-1677767629.pdf,false
OSUN,IFELODUN,OKEBA IKIRUN,"OPEN SPACE, SAMOLOPE AREA, BEHIND ST. SAVIOUR'S PRY. SCH., OKEEBA, IKIRUN",29/14/07/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3717/ward/24531/pu/126188/126188-1677764397.pdf,false
OSUN,IFELODUN,OKEBA IKIRUN,"OPEN SPACE, UNDER TREE, BESIDE TRANSFORMER, ABEBI AREA, EWETA, IKIRUN",29/14/07/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3717/ward/24531/pu/126186/126186-1677763312.pdf,false
OSUN,IFELODUN,OKEBA IKIRUN,OLUKOLO/ST. PAUL'S SCH. IKIRUN,29/14/07/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3717/ward/24531/pu/98228/98228-1677762826.pdf,false
OSUN,IFELODUN,OKEBA IKIRUN,"HIGH COURT, EKO ENDE ROAD, IKIRUN",29/14/07/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3717/ward/24531/pu/126187/126187-1677762536.pdf,false
OSUN,IFELODUN,OKEBA IKIRUN,OLD INISA ROAD/ODOFIN SQUARE,29/14/07/012,,true
OSUN,IFELODUN,OKEBA IKIRUN,ESORUN SQUARE I,29/14/07/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3717/ward/24531/pu/98222/98222-1677587189.pdf,true
OSUN,IFELODUN,OKEBA IKIRUN,SAVIOUR'S PRY. SCHOOL II,29/14/07/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3717/ward/24531/pu/98226/98226-1677587877.pdf,true
OSUN,IFELODUN,OKEBA IKIRUN,ADEJI/IGBO-ILE II,29/14/07/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3717/ward/24531/pu/98230/98230-1677590894.pdf,true
OSUN,IFELODUN,OKEBA IKIRUN,"OPEN SPACE IGBO ILE JUNCTION, BESIDE SOLAR STREET LIGHT",29/14/07/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3717/ward/24531/pu/126190/126190-1677590115.pdf,true
OSUN,IFELODUN,OKEBA IKIRUN,ADEJI/IGBO-ILE I,29/14/07/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3717/ward/24531/pu/98229/98229-1677588910.pdf,false
OSUN,IFELODUN,OKEBA IKIRUN,SAVIOUR'S PRY. SCHOOL I,29/14/07/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/07/pu/004/004-1677387546.pdf,false
OSUN,IFELODUN,OKEBA IKIRUN,OJA BAALE/OJA BAALE,29/14/07/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/07/pu/006/006-1677380408.pdf,false
OSUN,IFELODUN,OKEBA IKIRUN,"EWETA/COMUNITY PRY SCHOOL, EWETA",29/14/07/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/07/pu/003/003-1677369711.pdf,false
OSUN,IFELODUN,OKEBA IKIRUN,OLD INISA RD/ODOFIN SQUARE,29/14/07/010,,false
OSUN,IFELODUN,OKEBA IKIRUN,"OPEN SPACE BESIDE FOURSQUARE CHURCH ODOFUN, IKIRUN",29/14/07/020,,false
OSUN,IFELODUN,OKEBA IKIRUN,EKO ENDE ROAD/ OYEBAMIJI,29/14/07/011,,false
OSUN,IFELODUN,OKEBA IKIRUN,"OPEN SPACE IGBO ILE OLA DADDY JUNCTION, BESIDE ROCK, IKIRUN",29/14/07/019,,false
