state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OSUN,OSOGBO,JAGUN B',GIDADO MOSQUE AREA  II,29/30/10/008,,true
OSUN,OSOGBO,JAGUN B',"16, IKOLABA STREET",29/30/10/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3733/ward/24715/pu/99958/99958-1677483079.pdf,false
OSUN,OSOGBO,JAGUN B',"4, IKOLABA STREET",29/30/10/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/30/ward/10/pu/010/010-1677408521.pdf,false
OSUN,OSOGBO,JAGUN B',JIMMY RADIO  I,29/30/10/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/30/ward/10/pu/004/004-1677403268.pdf,false
OSUN,OSOGBO,JAGUN B',ALADORIN COMPOUND,29/30/10/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/30/ward/10/pu/011/011-1677399288.pdf,false
OSUN,OSOGBO,JAGUN B',"2A, OKUNMEBO STREET  II",29/30/10/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/30/ward/10/pu/009/009-1677398155.pdf,false
OSUN,OSOGBO,JAGUN B',GIDADO MOSQUE AREA  I,29/30/10/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/30/ward/10/pu/007/007-1677393763.pdf,false
OSUN,OSOGBO,JAGUN B',"19, KAJOLA STREET",29/30/10/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/30/ward/10/pu/003/003-1677392354.pdf,false
OSUN,OSOGBO,JAGUN B',"24, OKUNMEBO STREET",29/30/10/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/30/ward/10/pu/001/001-1677391860.pdf,false
OSUN,OSOGBO,JAGUN B',"14, ARERUWE HOTEL",29/30/10/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/30/ward/10/pu/006/006-1677386665.pdf,false
OSUN,OSOGBO,JAGUN B',JIMMY RADIO  II,29/30/10/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/30/ward/10/pu/005/005-1677385728.pdf,false
