state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OYO,ATIBA,AGUNPOPO I,ALAAFIN HIGH SCHOOL,30/03/05/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3736/ward/24747/pu/167649/167649-1677490080.pdf,false
OYO,ATIBA,AGUNPOPO I,INSIDE OKE-OLOLA JUNIOR SECONDARY SCHOOL.,30/03/05/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3736/ward/24747/pu/167647/167647-1677486799.pdf,false
OYO,ATIBA,AGUNPOPO I,"OPEN SPACE, AWELEWA COMPOUND.",30/03/05/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3736/ward/24747/pu/167645/167645-1677486642.pdf,false
OYO,ATIBA,AGUNPOPO I,SAKUTA,30/03/05/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3736/ward/24747/pu/100308/100308-1677478706.pdf,false
OYO,ATIBA,AGUNPOPO I,IDI-AGBON,30/03/05/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/05/pu/002/002-1677428051.pdf,false
OYO,ATIBA,AGUNPOPO I,AKINIKU,30/03/05/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/05/pu/001/001-1677427776.pdf,false
OYO,ATIBA,AGUNPOPO I,OKANSA,30/03/05/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/05/pu/003/003-1677427072.pdf,false
OYO,ATIBA,AGUNPOPO I,OPEN SPACE AT OKORO/GBODOROKO.,30/03/05/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/05/pu/008/008-1677426331.pdf,false
OYO,ATIBA,AGUNPOPO I,OPEN SPACE IDI-AGBON.,30/03/05/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/05/pu/009/009-1677425459.pdf,false
OYO,ATIBA,AGUNPOPO I,SEMBE/EKARUN,30/03/05/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/05/pu/007/007-1677425448.pdf,false
OYO,ATIBA,AGUNPOPO I,ONIBULA,30/03/05/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/05/pu/005/005-1677425054.pdf,false
OYO,ATIBA,AGUNPOPO I,OPEN SPACE OPPOSITE IFE-OLUWA BAPTIST CHURCH.,30/03/05/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/05/pu/011/011-1677424213.pdf,false
OYO,ATIBA,AGUNPOPO I,OPEN SPACE OLUKOKUN/SEMBE,30/03/05/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/05/pu/015/015-1677424144.pdf,false
OYO,ATIBA,AGUNPOPO I,OPEN SPACE ALADOTA,30/03/05/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/05/pu/013/013-1677404697.pdf,false
OYO,ATIBA,AGUNPOPO I,OKE-OLOOLA,30/03/05/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/05/pu/004/004-1677393199.pdf,false
