state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OYO,ATISBO,AGO ARE II,COURT HALL AGO-AARE II,30/04/08/002,,true
OYO,ATISBO,AGO ARE II,COURT HALL AGO-AARE IV,30/04/08/004,,true
OYO,ATISBO,AGO ARE II,COURT HALL AGO-AARE III,30/04/08/003,,true
OYO,ATISBO,AGO ARE II,ONILE NLA COMPOUND,30/04/08/005,,true
OYO,ATISBO,AGO ARE II,ABA OKE,30/04/08/006,,true
OYO,ATISBO,AGO ARE II,SECOND BAPT. PRIMARY SCHOOL II (B),30/04/08/009,,true
OYO,ATISBO,AGO ARE II,ARIKA COMPOUND AREA II,30/04/08/011,,true
OYO,ATISBO,AGO ARE II,SOBALOJU COMPOUND,30/04/08/014,,true
OYO,ATISBO,AGO ARE II,SECOND BAPT. PRIMARY SCHOOL I,30/04/08/007,,true
OYO,ATISBO,AGO ARE II,COURT HALL AGO-AARE I,30/04/08/001,,true
OYO,ATISBO,AGO ARE II,ARIKA COMPOUND AREA I,30/04/08/010,,true
OYO,ATISBO,AGO ARE II,SECOND BAPT. PRIMARY SCHOOL II (A),30/04/08/008,,true
OYO,ATISBO,AGO ARE II,ABA RAHEEM II,30/04/08/013,,true
OYO,ATISBO,AGO ARE II,ABA SIMEON,30/04/08/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/08/pu/015/015-1677425100.pdf,false
OYO,ATISBO,AGO ARE II,ABA RAHEEM I,30/04/08/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/08/pu/012/012-1677424482.pdf,false
OYO,ATISBO,AGO ARE II,AKEWE COMPOUND,30/04/08/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/08/pu/016/016-1677422800.pdf,false
OYO,ATISBO,AGO ARE II,BAPTIST SECONDARY SCHOOL/CO-OPERATIVE,30/04/08/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/08/pu/017/017-1677421258.pdf,false
OYO,ATISBO,AGO ARE II,BALODE COMPOUND,30/04/08/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/04/ward/08/pu/018/018-1677419274.pdf,false
