state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OYO,IBADAN NORTH,"WARD VII, N6A PART II",FATODU STREET (TUNATOL),30/06/07/013,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",ALAWODE STREET II,30/06/07/011,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II","OPEN SPACE, BASKET COURT, ST LOIUS GRAMMAR SCHOOL, MOKOLA",30/06/07/026,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",POPOOLA CHAMBERS I,30/06/07/023,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",OPEN SPACE BESIDE SUNNY DAY MODEL SCHOOL,30/06/07/029,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II","FAYEMI STREET, TAXACO, ORE MEJI I",30/06/07/001,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",OPEN SPACE OPPOSITE PUBLIC BOREHOLE,30/06/07/027,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",OPPOSITE ARABIC HIGH SCHOOL II,30/06/07/009,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",OPEN SPACE OPP CHRIST APOSTOLIC CHURCH,30/06/07/028,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",C.A.C. OBADARE,30/06/07/020,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",OPPOSITE ARABIC HIGH SCHOOL I,30/06/07/008,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",ESTATE OKE ITUNU,30/06/07/021,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",RAILWAY CHAMBERS II,30/06/07/018,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",IN FRONT OF ADEDIRAN MOSQUE,30/06/07/022,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II","OPEN SPACE OPPOSITE MTN MAST, AJEGUNLE",30/06/07/025,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II","FAYEMI STREET, TAXACO, ORE MEJI II",30/06/07/002,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",RAILWAY CHAMBERS I,30/06/07/017,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",OPPOSITE SUNNY DAY MODEL SCHOOL I,30/06/07/006,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",ALAWODE STREET I,30/06/07/010,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",CONSTANCE MODEL SCHOOL,30/06/07/012,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",POPOOLA CHAMBERS II,30/06/07/024,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",ADEOLA CRESCENT II,30/06/07/015,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II","AJEGUNLE STREET, COCA COLA II",30/06/07/004,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",AMISU STREET OKE ITUNU,30/06/07/016,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II","AJEGUNLE STREET, COCA COLA I",30/06/07/003,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",BEHIND TEXACO,30/06/07/019,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",ADEOLA CRESCENT I,30/06/07/014,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",TUNATOL JUNCTION,30/06/07/030,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",ST. LOUIS GRAMMAR SCHOOL,30/06/07/005,,true
OYO,IBADAN NORTH,"WARD VII, N6A PART II",OPEN SPACE CLOSE TO CAC OBADARE,30/06/07/032,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24780/pu/167932/167932-1677484581.pdf,false
OYO,IBADAN NORTH,"WARD VII, N6A PART II",OPEN SPACE OPP GBOROMIRO CHURCH AMISU OKE ITUNU,30/06/07/031,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24780/pu/167931/167931-1677484354.pdf,false
OYO,IBADAN NORTH,"WARD VII, N6A PART II",OPPOSITE SUNNY DAY MODEL SCHOOL II,30/06/07/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/07/pu/007/007-1677427716.pdf,false
