state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",AGO TAPA,30/06/09/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/100908/100908-1677520150.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",UPSTAIRS BEHIND CAC CHURCH MOKOLA,30/06/09/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/167963/167963-1677520142.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)","OPPOSITE VETERINARY, MOKOLA",30/06/09/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/100915/100915-1677519904.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",BEHIND BISI BOOKSHOP,30/06/09/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/100906/100906-1677519894.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",BACK OF UNCLE JOE,30/06/09/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/100914/100914-1677515646.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",ALFRHO BUILDING MOKOLA,30/06/09/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/167964/167964-1677514344.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",C & S NEW EDEN SCHOOL LIBRARY,30/06/09/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/167968/167968-1677513766.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",YEKOGUN SHOPPING COMPLEX MOKOLA,30/06/09/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/167969/167969-1677513345.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",I.M.G. MOKOLA II,30/06/09/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/100905/100905-1677513049.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",BESIDE ROYAL CLINIC MOKOLA,30/06/09/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/167971/167971-1677512078.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",AKINLOLU PRINTERS,30/06/09/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/100913/100913-1677511813.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",I.M.G. MOKOLA I,30/06/09/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/100904/100904-1677511533.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",OPPOSITE ALAFIA INSTITUTE MOKOLA,30/06/09/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/167965/167965-1677510875.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",SPEED DIGITAL WORLD MOKOLA,30/06/09/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/167966/167966-1677510014.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",C & S NEW EDEN SCHOOL,30/06/09/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/100912/100912-1677509751.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",TRANSFORMER OPPOSITE FOUNTAIN OF GRACE CHURCH MOKOLA,30/06/09/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/167970/167970-1677508620.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",ALAFIA PRIMARY SCHOOL III,30/06/09/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/100911/100911-1677508196.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)","HEALTH CENTRE, OBA AKINBIYI HIGH SCHOOL I",30/06/09/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/167962/167962-1677508063.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",AGORO AND AGORO B & L ADVOCATE MOKOLA,30/06/09/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/167967/167967-1677507278.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",COLOUR LABORATORY,30/06/09/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/100907/100907-1677506091.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",ALAFIA PRIMARY SCHOOL II,30/06/09/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/100910/100910-1677505456.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",ALAFIA PRIMARY SCHOOL I,30/06/09/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3739/ward/24782/pu/100909/100909-1677504132.pdf,false
OYO,IBADAN NORTH,"WARD IX, (N6B PART I)",BEHIND OBA AKINBIYI HIGH SCHOOL (I),30/06/09/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/09/pu/001/001-1677413693.pdf,false
