state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OYO,IBADAN SOUTH-EAST,S. 2B,INFRONT OF ALAJAMETA MOSQUE,30/09/04/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/04/pu/010/010-1677414559.pdf,false
OYO,IBADAN SOUTH-EAST,S. 2B,OPEN SPACE NEAR KOBOMOJE SCHOOL II,30/09/04/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/04/pu/009/009-1677414545.pdf,false
OYO,IBADAN SOUTH-EAST,S. 2B,BESIDE BALOGUN KOBOMOJE II,30/09/04/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/04/pu/002/002-1677413141.pdf,false
OYO,IBADAN SOUTH-EAST,S. 2B,PUBLIC DAY SCHOOL KOBOMOJE I,30/09/04/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/04/pu/006/006-1677412103.pdf,false
OYO,IBADAN SOUTH-EAST,S. 2B,INFRONT OF ASALAM HOSPITAL,30/09/04/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/04/pu/012/012-1677411535.pdf,false
OYO,IBADAN SOUTH-EAST,S. 2B,OPEN SPACE NEAR KOBOMOJE SCHOOL I,30/09/04/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/04/pu/008/008-1677411481.pdf,false
OYO,IBADAN SOUTH-EAST,S. 2B,OPPOSITE OJOLOWO BAKERY,30/09/04/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/04/pu/005/005-1677409738.pdf,false
OYO,IBADAN SOUTH-EAST,S. 2B,BESIDE BALOGUN KOBOMOJE I,30/09/04/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/04/pu/001/001-1677408436.pdf,false
OYO,IBADAN SOUTH-EAST,S. 2B,PUBLIC DAY SCHOOL KOBOMOJE II,30/09/04/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/04/pu/007/007-1677407551.pdf,false
OYO,IBADAN SOUTH-EAST,S. 2B,OUTER SPACE NEAR BALOGUN KOBOMOJE,30/09/04/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/04/pu/003/003-1677403931.pdf,false
OYO,IBADAN SOUTH-EAST,S. 2B,BADA' S COMPOUND,30/09/04/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/04/pu/004/004-1677401541.pdf,false
OYO,IBADAN SOUTH-EAST,S. 2B,"INFRONT OF OYO STATE UBEB BUILDING, PUBLIC PRIMARY SCHOOL, KOBOMOJE",30/09/04/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/04/pu/013/013-1677395622.pdf,false
OYO,IBADAN SOUTH-EAST,S. 2B,SOGOYE CO-OPERATIVE BUILDING OPPOSITE BADA'S COMPUND,30/09/04/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/04/pu/011/011-1677386168.pdf,false
