state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OYO,IBADAN SOUTH-EAST,S 4A,OPEN SPACE ALONG AYEDADE ELUKURO IV,30/09/06/028,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3742/ward/24814/pu/101517/101517-1677519202.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,ILE ORITA JUNCTION II,30/09/06/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3742/ward/24814/pu/101496/101496-1677519052.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,WESLEY CAMPUS I,30/09/06/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3742/ward/24814/pu/101490/101490-1677518852.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,"OJO ERIN COMPOUND OPP. EGE HOUSE, IDI-ARO, ASANKE",30/09/06/036,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3742/ward/24814/pu/168199/168199-1677517736.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,C.A.C. ELETA II,30/09/06/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3742/ward/24814/pu/101504/101504-1677514882.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,OPEN SPACE AT MODINA II,30/09/06/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3742/ward/24814/pu/101510/101510-1677514336.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,"PUBLIC DAY SCHOOL, ELEKURO I",30/09/06/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3742/ward/24814/pu/101511/101511-1677504268.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,C.A.C. ELETA I,30/09/06/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/014/014-1677428761.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,WESLEY CAMPUS V,30/09/06/031,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/031/031-1677427277.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,ILE ORITA JUNCTION OLASOMI COMPOUND IYANA ASANKE,30/09/06/032,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/032/032-1677425690.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,"NEAR ARABIC INSTITUTION, MODINA I",30/09/06/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/018/018-1677425428.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,"PUBLIC DAY SCHOOL, ELEKURO II",30/09/06/023,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/023/023-1677425225.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,ILE ORITA JUNCTION I,30/09/06/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/006/006-1677424262.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,OPEN SPACE AT OLUBI I,30/09/06/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/004/004-1677424240.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,OPEN SPACE AT OLUBI II,30/09/06/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/005/005-1677423772.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,WESLEY CAMPUS IV,30/09/06/030,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/030/030-1677423457.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,OPPOSITE ASANKE IDI-ARO II,30/09/06/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/009/009-1677422318.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,WESLEY CAMPUS II,30/09/06/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/002/002-1677421973.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,"OPEN SPACE AT WERE'S COMPOUND, ASANKE",30/09/06/037,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/037/037-1677421930.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,"ILE ORITA JUNCTION IV ASANKE, IBADAN",30/09/06/034,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/034/034-1677421894.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,OPEN SPACE AT MODINA I,30/09/06/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/020/020-1677421472.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,OPEN SPACE AT MODINA  III,30/09/06/038,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/038/038-1677420689.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,OPPOSITE ASANKE IDI-ARO I,30/09/06/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/008/008-1677420002.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,"PUBLIC DAY SCHOOL, ELEKURO III",30/09/06/024,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/024/024-1677419657.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,"ILE ORITA JUNCTION III ASANKE, IBADAN",30/09/06/033,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/033/033-1677419579.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,OPEN SPACE OPPOSITE AKERE COMPOUND,30/09/06/039,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/039/039-1677419013.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,PUBLIC DAY SCHOOL ELEKURO IV,30/09/06/040,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/040/040-1677418602.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,"OPEN SPACE AT AYEDADE, ELEKURO III",30/09/06/027,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/027/027-1677418370.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,"NEAR ARABIC INSTITUTION, MODINA II",30/09/06/019,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/019/019-1677418270.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,"OPEN SPACE AT AYEDADE, ELEKURO II",30/09/06/026,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/026/026-1677417513.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,OPEN SPACE AT AYEDADE ELEKURO V,30/09/06/043,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/043/043-1677417180.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,OPEN SPACE AT AYEDADE ELEKURO VI,30/09/06/044,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/044/044-1677416346.pdf,false
OYO,IBADAN SOUTH-EAST,S 4A,"OPEN SPACE AT AYEDADE, ELEKURO I",30/09/06/025,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/09/ward/06/pu/025/025-1677415177.pdf,false
