state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OYO,IBARAPA NORTH,AYETE II,OKE-OGUN II,30/13/02/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3746/ward/24854/pu/102386/102386-1677595312.pdf,false
OYO,IBARAPA NORTH,AYETE II,OLOKUTA V,30/13/02/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3746/ward/24854/pu/102399/102399-1677593732.pdf,true
OYO,IBARAPA NORTH,AYETE II,OLOKUTA I,30/13/02/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3746/ward/24854/pu/102395/102395-1677514194.pdf,false
OYO,IBARAPA NORTH,AYETE II,MOLETE I,30/13/02/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3746/ward/24854/pu/102387/102387-1677512501.pdf,false
OYO,IBARAPA NORTH,AYETE II,MOTOR PARK I,30/13/02/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3746/ward/24854/pu/102390/102390-1677511287.pdf,false
OYO,IBARAPA NORTH,AYETE II,MOLETE III,30/13/02/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3746/ward/24854/pu/102389/102389-1677510541.pdf,false
OYO,IBARAPA NORTH,AYETE II,OLOKUTA IV,30/13/02/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3746/ward/24854/pu/102398/102398-1677487715.pdf,false
OYO,IBARAPA NORTH,AYETE II,OLOKUTA III,30/13/02/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3746/ward/24854/pu/102397/102397-1677486462.pdf,false
OYO,IBARAPA NORTH,AYETE II,OLOKUTA II,30/13/02/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3746/ward/24854/pu/102396/102396-1677486062.pdf,false
OYO,IBARAPA NORTH,AYETE II,ODOODE II,30/13/02/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3746/ward/24854/pu/102384/102384-1677484932.pdf,false
OYO,IBARAPA NORTH,AYETE II,OKE-OGUN I,30/13/02/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3746/ward/24854/pu/102385/102385-1677484297.pdf,false
OYO,IBARAPA NORTH,AYETE II,MOTOR PARK IV,30/13/02/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3746/ward/24854/pu/102393/102393-1677483624.pdf,false
OYO,IBARAPA NORTH,AYETE II,ODOODE I,30/13/02/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3746/ward/24854/pu/102383/102383-1677482734.pdf,false
OYO,IBARAPA NORTH,AYETE II,MOLETE II,30/13/02/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3746/ward/24854/pu/102388/102388-1677481924.pdf,false
OYO,IBARAPA NORTH,AYETE II,MOTOR PARK V,30/13/02/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3746/ward/24854/pu/102394/102394-1677481341.pdf,false
OYO,IBARAPA NORTH,AYETE II,MOTOR PARK II,30/13/02/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3746/ward/24854/pu/102391/102391-1677480737.pdf,false
OYO,IBARAPA NORTH,AYETE II,MOTOR PARK III,30/13/02/010,,false
