state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OYO,LAGELU,OGUNREMI/OGUNSINA,ALATARE VILLAGE,30/20/12/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/12/pu/004/004-1677380017.pdf,false
OYO,LAGELU,OGUNREMI/OGUNSINA,"ST. JAMES SCHOOL, DAGBOLU",30/20/12/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/12/pu/003/003-1677379688.pdf,false
OYO,LAGELU,OGUNREMI/OGUNSINA,ELERUKO VILLAGE,30/20/12/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/12/pu/006/006-1677379628.pdf,false
OYO,LAGELU,OGUNREMI/OGUNSINA,"ST. MATTHEW SCHOOL, AGBEDEYI",30/20/12/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/12/pu/008/008-1677379573.pdf,false
OYO,LAGELU,OGUNREMI/OGUNSINA,OGUNREMI VILLAGE,30/20/12/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/12/pu/001/001-1677378243.pdf,false
OYO,LAGELU,OGUNREMI/OGUNSINA,OMIYO VILLAGE,30/20/12/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/12/pu/009/009-1677378195.pdf,false
OYO,LAGELU,OGUNREMI/OGUNSINA,ONISANGO VILLAGE,30/20/12/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/12/pu/010/010-1677377411.pdf,false
OYO,LAGELU,OGUNREMI/OGUNSINA,ISAGADE VILLAGE,30/20/12/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/12/pu/011/011-1677377298.pdf,false
OYO,LAGELU,OGUNREMI/OGUNSINA,"C.A.C. PRIMARY SCHOOL, MOROLA",30/20/12/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/12/pu/007/007-1677375730.pdf,false
OYO,LAGELU,OGUNREMI/OGUNSINA,OGUNSOWO VILLAGE,30/20/12/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/12/pu/005/005-1677375294.pdf,false
OYO,LAGELU,OGUNREMI/OGUNSINA,OGUNSINA VILLAGE,30/20/12/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/20/ward/12/pu/002/002-1677374365.pdf,false
