state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,OJO-EKUN,30/25/10/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3758/ward/24988/pu/103854/103854-1677596758.pdf,true
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,PAKO,30/25/10/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3758/ward/24988/pu/103856/103856-1677595702.pdf,false
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,OMIGBOPA PRIMARY SCHOOL,30/25/10/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3758/ward/24988/pu/103857/103857-1677594625.pdf,true
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,ORISUNBARE VILLAGE,30/25/10/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3758/ward/24988/pu/103852/103852-1677591578.pdf,false
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,HEALTH CENTRE ODO-OKUN,30/25/10/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3758/ward/24988/pu/168866/168866-1677590907.pdf,true
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,LANISA,30/25/10/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3758/ward/24988/pu/168868/168868-1677590185.pdf,true
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,ARA-OJE,30/25/10/002,,false
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,MAKINDE OLOSE,30/25/10/001,,false
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,ODO-OKUN PRIMARY SCHOOL,30/25/10/006,,false
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,ORISUNBARE II,30/25/10/011,,false
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,ABA-IBEJI,30/25/10/013,,false
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,BAMGBEGBIN VILLAGE,30/25/10/010,,false
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,ST DAVID PRY.IGBONNA ABAOLORISA/ ILUTITUN,30/25/10/015,,false
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,ODOKUODO PRIMARY SCHOOL,30/25/10/004,,false
OYO,OLUYOLE,ORISUNBARE/OJO-EKUN,OGUNDELE VILLAGE,30/25/10/009,,false
