state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OYO,ONA-ARA,OGBERE TIOYA,"INAOLAJI JUNCTION OFF ADEYALO, ADJACENT ENIAYEFE FILLING STATION",30/26/07/026,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3759/ward/24995/pu/168910/168910-1677602007.pdf,false
OYO,ONA-ARA,OGBERE TIOYA,"OPEN SPACE AT MAGISTRATE COURT,JEGEDE",30/26/07/025,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3759/ward/24995/pu/168909/168909-1677601917.pdf,false
OYO,ONA-ARA,OGBERE TIOYA,OPEN SPACE ADJACENT C.A.C CHURCH ABA EGBA,30/26/07/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3759/ward/24995/pu/168907/168907-1677601419.pdf,false
OYO,ONA-ARA,OGBERE TIOYA,"OPEN SPACE OPPOSITE YIDI TRANSFORMER, YIDI GROUND GANGANSI",30/26/07/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3759/ward/24995/pu/168906/168906-1677601210.pdf,true
OYO,ONA-ARA,OGBERE TIOYA,"ITESIWAJU COMMUNITY HIGH SCHOOL, ALAPAFON",30/26/07/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3759/ward/24995/pu/168904/168904-1677600745.pdf,false
OYO,ONA-ARA,OGBERE TIOYA,"OPEN SPACE AT PRIMARY HEALTH CARE CENTRE, WINDIRAN OLUNLOYO",30/26/07/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3759/ward/24995/pu/168903/168903-1677600388.pdf,false
OYO,ONA-ARA,OGBERE TIOYA,"OPEN SPACE ABONDE VILLAGE JUNCTION, OPPOSITE TRANSFORMER",30/26/07/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3759/ward/24995/pu/168902/168902-1677600124.pdf,false
OYO,ONA-ARA,OGBERE TIOYA,ELEKURO HIGH SCHOOL II,30/26/07/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3759/ward/24995/pu/168901/168901-1677599972.pdf,false
OYO,ONA-ARA,OGBERE TIOYA,OPEN SPACE OPPOSITE TRANSFORMER TIOYA,30/26/07/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3759/ward/24995/pu/168900/168900-1677599707.pdf,true
OYO,ONA-ARA,OGBERE TIOYA,"OPEN SPACE AT SUCCESS HIGH SCHOOL JUNCTION, AGALA BABANLA",30/26/07/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3759/ward/24995/pu/168899/168899-1677599547.pdf,false
OYO,ONA-ARA,OGBERE TIOYA,ADEYALO,30/26/07/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3759/ward/24995/pu/103910/103910-1677598687.pdf,false
OYO,ONA-ARA,OGBERE TIOYA,ORI-ARAN,30/26/07/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3759/ward/24995/pu/103909/103909-1677597677.pdf,false
OYO,ONA-ARA,OGBERE TIOYA,ORITA-MERIN I,30/26/07/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3759/ward/24995/pu/103905/103905-1677595284.pdf,false
OYO,ONA-ARA,OGBERE TIOYA,I.D.C. SCHOOL OLUNLOYO III,30/26/07/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3759/ward/24995/pu/103904/103904-1677594980.pdf,false
OYO,ONA-ARA,OGBERE TIOYA,I.D.C. SCHOOL OLUNLOYO II,30/26/07/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3759/ward/24995/pu/103903/103903-1677594595.pdf,false
OYO,ONA-ARA,OGBERE TIOYA,I.D.C. SCHOOL OLUNLOYO I,30/26/07/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3759/ward/24995/pu/103902/103902-1677594023.pdf,true
OYO,ONA-ARA,OGBERE TIOYA,ELEBOLO,30/26/07/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3759/ward/24995/pu/103901/103901-1677593096.pdf,true
OYO,ONA-ARA,OGBERE TIOYA,ELEKURO HIGH SCHOOL,30/26/07/004,,false
OYO,ONA-ARA,OGBERE TIOYA,GARI INDUSTRY,30/26/07/003,,false
OYO,ONA-ARA,OGBERE TIOYA,"OKE OGBERE COMMUNITY HIGH SCHOOL,JEGEDE",30/26/07/024,,false
OYO,ONA-ARA,OGBERE TIOYA,ORITA-MERIN II,30/26/07/010,,false
OYO,ONA-ARA,OGBERE TIOYA,AKILAPA BABANLA,30/26/07/002,,false
OYO,ONA-ARA,OGBERE TIOYA,JEGEDE,30/26/07/012,,false
OYO,ONA-ARA,OGBERE TIOYA,MOGA,30/26/07/001,,false
OYO,ONA-ARA,OGBERE TIOYA,"METHODIST PRIMARY SCHOOL, GANGANSI",30/26/07/011,,false
OYO,ONA-ARA,OGBERE TIOYA,"OYE BLOCK JUNCTION, BESIDE DECENT KEM FILLING STATION",30/26/07/021,,false
