state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OYO,ORI IRE,ORI IRE VIII,AHORO DADA OPEN SPACE II,30/28/08/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3761/ward/25017/pu/104131/104131-1677521574.pdf,false
OYO,ORI IRE,ORI IRE VIII,AHORO DADA OPEN SPACE IV,30/28/08/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/28/ward/08/pu/006/006-1677381061.pdf,false
OYO,ORI IRE,ORI IRE VIII,BIIRO OPEN SPACE,30/28/08/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/28/ward/08/pu/009/009-1677391263.pdf,false
OYO,ORI IRE,ORI IRE VIII,AHORO DADA OPEN SPACE I,30/28/08/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/28/ward/08/pu/003/003-1677387776.pdf,false
OYO,ORI IRE,ORI IRE VIII,MOLEYO OPEN SPACE I,30/28/08/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/28/ward/08/pu/007/007-1677387341.pdf,false
OYO,ORI IRE,ORI IRE VIII,IGBO ALAJE OPEN SPACE,30/28/08/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/28/ward/08/pu/002/002-1677386366.pdf,false
OYO,ORI IRE,ORI IRE VIII,ODOGBO OPEN SPACE,30/28/08/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/28/ward/08/pu/012/012-1677382120.pdf,false
OYO,ORI IRE,ORI IRE VIII,AHORO DADA OPEN SPACE III,30/28/08/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/28/ward/08/pu/005/005-1677385192.pdf,false
OYO,ORI IRE,ORI IRE VIII,AAWON OPEN SPACE,30/28/08/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/28/ward/08/pu/010/010-1677383775.pdf,false
OYO,ORI IRE,ORI IRE VIII,MOLEYO OPEN SPACE II,30/28/08/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/28/ward/08/pu/008/008-1677382081.pdf,false
OYO,ORI IRE,ORI IRE VIII,AJEGUNLE-GBENRO OPEN SPACE,30/28/08/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/28/ward/08/pu/001/001-1677381144.pdf,false
OYO,ORI IRE,ORI IRE VIII,ALAGBEDE OPEN SPACE,30/28/08/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/28/ward/08/pu/011/011-1677378570.pdf,false
