state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OYO,OYO EAST,OKE APO,OPEN SPACE II AGUO,30/29/08/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665043/result_90678_1677674221_thumb.jpg,false
OYO,OYO EAST,OKE APO,OPEN SPACE ANLELERIN JUNCTION,30/29/08/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665042/result_90677_1677674162_thumb.jpg,false
OYO,OYO EAST,OKE APO,OPEN SPACE OTUN FAREMI,30/29/08/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665041/result_90676_1677673882_thumb.jpg,false
OYO,OYO EAST,OKE APO,IGBO AJE VILLAGE,30/29/08/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103161/result_90675_1677673839_thumb.jpg,false
OYO,OYO EAST,OKE APO,ANLELERIN VILLAGE,30/29/08/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103159/result_90673_1677673478_thumb.jpg,false
OYO,OYO EAST,OKE APO,OJA OMOOBA VILLAGE,30/29/08/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103160/result_90674_1677673468_thumb.jpg,false
OYO,OYO EAST,OKE APO,ALABI OLORUNDA VILLAGE,30/29/08/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103158/result_90672_1677673127_thumb.jpg,false
OYO,OYO EAST,OKE APO,OKE APO VILLAGE,30/29/08/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103157/result_90671_1677673109_thumb.jpg,false
OYO,OYO EAST,OKE APO,AKODA IGBO OLOSUN VILLAGE,30/29/08/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103156/result_90670_1677672842_thumb.jpg,false
OYO,OYO EAST,OKE APO,BODIJA VILLAGE,30/29/08/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103155/result_90669_1677672697_thumb.jpg,false
OYO,OYO EAST,OKE APO,AGUO O/S,30/29/08/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103152/result_90666_1677672423_thumb.jpg,false
OYO,OYO EAST,OKE APO,ABUJAKAN VILLAGE,30/29/08/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103154/result_90668_1677672378_thumb.jpg,false
OYO,OYO EAST,OKE APO,OTUN ONILU/ALASE O/S,30/29/08/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103153/result_90667_1677672008_thumb.jpg,false
OYO,OYO EAST,OKE APO,OKE APO O/S,30/29/08/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103151/result_90665_1677670895_thumb.jpg,false
