state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OYO,OYO WEST,IYAJI,"YAYA, OPEN SPACE",30/30/07/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103248/result_90805_1677500572_thumb.jpg,true
OYO,OYO WEST,IYAJI,ISALE AGBALA OPEN SPACE,30/30/07/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103242/result_90799_1677500842_thumb.jpg,true
OYO,OYO WEST,IYAJI,"EBU ALAPO, OPEN SPACE",30/30/07/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/30/ward/07/pu/006/006-1677419047.pdf,false
OYO,OYO WEST,IYAJI,"AKIN-NU, OPEN SPACE",30/30/07/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/30/ward/07/pu/009/009-1677418161.pdf,false
OYO,OYO WEST,IYAJI,"GARAGE/OSISONA, OPEN SPACE",30/30/07/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/30/ward/07/pu/004/004-1677417087.pdf,false
OYO,OYO WEST,IYAJI,"MOGBA, OPEN SPACE",30/30/07/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/30/ward/07/pu/005/005-1677416879.pdf,false
OYO,OYO WEST,IYAJI,"ABOGUNDE, OPEN SPACE",30/30/07/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/30/ward/07/pu/008/008-1677416120.pdf,false
OYO,OYO WEST,IYAJI,R.C.M. PRIMARY SCHOOL SANGA,30/30/07/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/30/ward/07/pu/002/002-1677415981.pdf,false
OYO,OYO WEST,IYAJI,"IYAJI, OPEN SPACE",30/30/07/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/30/ward/07/pu/003/003-1677414647.pdf,false
OYO,OYO WEST,IYAJI,OPEN SPACE ALAWUSA,30/30/07/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/30/ward/07/pu/010/010-1677413350.pdf,false
