state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OYO,SAKI EAST,OGBOORO I,"THE APOSTOLIC PRIMARY SCHOOL, ALAKIA OGBOORO.",30/31/04/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/31/ward/04/pu/010/010-1677398300.pdf,false
OYO,SAKI EAST,OGBOORO I,"ABA ALAJUBA, OGBOORO",30/31/04/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/31/ward/04/pu/008/008-1677397876.pdf,false
OYO,SAKI EAST,OGBOORO I,"ABA OJUMOKAN, OGBOORO",30/31/04/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/31/ward/04/pu/009/009-1677397786.pdf,false
OYO,SAKI EAST,OGBOORO I,"A.U.D. PRIMARY SCHOOL, OGBOORO II",30/31/04/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/31/ward/04/pu/006/006-1677397301.pdf,false
OYO,SAKI EAST,OGBOORO I,"AYETORO, OGBOORO",30/31/04/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/31/ward/04/pu/007/007-1677395782.pdf,false
OYO,SAKI EAST,OGBOORO I,"A.U.D. PRIMARY SCHOOL, OGBOORO I",30/31/04/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/31/ward/04/pu/005/005-1677395581.pdf,false
OYO,SAKI EAST,OGBOORO I,"BAPTIST PRIMARY SCHOOL, OGBOORO II",30/31/04/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/31/ward/04/pu/004/004-1677395035.pdf,false
OYO,SAKI EAST,OGBOORO I,"MATERNITY CENTRE, OGBOORO II",30/31/04/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/31/ward/04/pu/002/002-1677394355.pdf,false
OYO,SAKI EAST,OGBOORO I,"BAPTIST PRIMARY SCHOOL, OGBOORO I",30/31/04/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/31/ward/04/pu/003/003-1677394170.pdf,false
OYO,SAKI EAST,OGBOORO I,"MATERNITY CENTRE, OGBOORO I",30/31/04/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/31/ward/04/pu/001/001-1677394062.pdf,false
