state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,"BAPTIST SCHOOL, KINNIKINNI II",30/32/06/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3765/ward/25056/pu/104585/104585-1677752281.pdf,false
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,"BAPTIST SCHOOL, KINNIKINNI III",30/32/06/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3765/ward/25056/pu/104586/104586-1677751941.pdf,true
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,IDERA,30/32/06/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3765/ward/25056/pu/104588/104588-1677751532.pdf,true
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,IDERA MARKET,30/32/06/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3765/ward/25056/pu/104589/104589-1677751388.pdf,false
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,IGBO-ELEWURO,30/32/06/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3765/ward/25056/pu/104590/104590-1677750310.pdf,false
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,OGIDIGBO MARKET II,30/32/06/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3765/ward/25056/pu/104577/104577-1677749090.pdf,false
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,OGIDIGBO MARKET I,30/32/06/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3765/ward/25056/pu/104576/104576-1677662597.pdf,false
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,AGOLUABI,30/32/06/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3765/ward/25056/pu/104592/104592-1677590805.pdf,true
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,ODO-OSUN I,30/32/06/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3765/ward/25056/pu/104582/104582-1677588169.pdf,true
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,"BAPTIST SCHOOL, KINNIKINNI IV",30/32/06/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3765/ward/25056/pu/104587/104587-1677587113.pdf,true
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,YANKAN,30/32/06/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3765/ward/25056/pu/104591/104591-1677586172.pdf,false
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,"BAPTIST SCHOOL, KINNIKINNI I",30/32/06/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3765/ward/25056/pu/104584/104584-1677584793.pdf,false
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,ISALE ORO COMMUNITY PRIMARY HEALTH CENTRE,30/32/06/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3765/ward/25056/pu/169061/169061-1677502696.pdf,false
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,ODO-OSUN II,30/32/06/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/32/ward/06/pu/008/008-1677425657.pdf,false
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,AGOLUABI (NTC),30/32/06/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/32/ward/06/pu/018/018-1677425319.pdf,false
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,(OPEN SPACE) BAKOJA JUNCTION,30/32/06/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/32/ward/06/pu/020/020-1677417917.pdf,false
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,"L.A. SCHOOL, ONIKEKE II",30/32/06/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/32/ward/06/pu/004/004-1677414370.pdf,false
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,"L.A. SCHOOL, ONIKEKE III",30/32/06/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/32/ward/06/pu/005/005-1677414061.pdf,false
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,"L.A. SCHOOL, ONIKEKE I",30/32/06/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/32/ward/06/pu/003/003-1677405275.pdf,false
OYO,SAKI WEST,OGIDIGBO/KINNIKINNI,"L.A. SCHOOL, ONIKEKE IV",30/32/06/006,,false
