state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
PLATEAU,BARIKIN LADI,MARIT/MAZAT,GANANDAJI TOWN II,31/01/08/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665893/result_92420_1677521988_thumb.jpg,false
PLATEAU,BARIKIN LADI,MARIT/MAZAT,GANA ROPP TOWN 11,31/01/08/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103820/result_92415_1677521663_thumb.jpg,false
PLATEAU,BARIKIN LADI,MARIT/MAZAT,MANJOHOTA TOWN,31/01/08/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103818/result_92413_1677515311_thumb.jpg,false
PLATEAU,BARIKIN LADI,MARIT/MAZAT,MKT SQUARE GANA ROPP,31/01/08/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665890/result_92417_1677516998_thumb.jpg,false
PLATEAU,BARIKIN LADI,MARIT/MAZAT,LAJAM,31/01/08/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665897/result_92424_1677518559_thumb.jpg,false
PLATEAU,BARIKIN LADI,MARIT/MAZAT,LEA PRI SCH KUBA B/LADI,31/01/08/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665892/result_92419_1677517658_thumb.jpg,false
PLATEAU,BARIKIN LADI,MARIT/MAZAT,MARIT TOWN III,31/01/08/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103821/result_92416_1677516629_thumb.jpg,false
PLATEAU,BARIKIN LADI,MARIT/MAZAT,MAZAT,31/01/08/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103813/result_92408_1677511954_thumb.jpg,false
PLATEAU,BARIKIN LADI,MARIT/MAZAT,GANANDAJI TOWN,31/01/08/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103812/result_92407_1677511477_thumb.jpg,true
PLATEAU,BARIKIN LADI,MARIT/MAZAT,ANG. SARKI,31/01/08/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665894/result_92421_1677517991_thumb.jpg,false
PLATEAU,BARIKIN LADI,MARIT/MAZAT,BUKA BAKWAI TOWN,31/01/08/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103819/result_92414_1677515645_thumb.jpg,false
PLATEAU,BARIKIN LADI,MARIT/MAZAT,KARARA VILLAGE,31/01/08/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665896/result_92423_1677518409_thumb.jpg,false
PLATEAU,BARIKIN LADI,MARIT/MAZAT,MARIT TOWN 1,31/01/08/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103815/result_92410_1677513029_thumb.jpg,false
PLATEAU,BARIKIN LADI,MARIT/MAZAT,MARIT TOWN 11,31/01/08/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
PLATEAU,BARIKIN LADI,MARIT/MAZAT,MAMI COMMUNITY HALL,31/01/08/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665895/result_92422_1677518203_thumb.jpg,true
PLATEAU,BARIKIN LADI,MARIT/MAZAT,OPSH BORE HOLE GANA ROPP,31/01/08/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665891/result_92418_1677517337_thumb.jpg,false
PLATEAU,BARIKIN LADI,MARIT/MAZAT,GANA ROPP TOWN I,31/01/08/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103814/result_92409_1677516059_thumb.jpg,false
PLATEAU,BARIKIN LADI,MARIT/MAZAT,TUDUN MAZAT VILLAGE,31/01/08/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/103817/result_92412_1677514046_thumb.jpg,true
