state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
PLATEAU,BOKKOS,BOKKOS,UNG.SARKI  I,31/03/01/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104011/result_92796_1677782191_thumb.jpg,true
PLATEAU,BOKKOS,BOKKOS,UNG. HAUSAWA,31/03/01/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104015/result_92800_1677778021_thumb.jpg,true
PLATEAU,BOKKOS,BOKKOS,"PRY. SCHOOL, BOT",31/03/01/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104007/result_92792_1677777762_thumb.jpg,true
PLATEAU,BOKKOS,BOKKOS,"PRIM. SCHOOL, MATOL",31/03/01/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104009/result_92794_1677777532_thumb.jpg,true
PLATEAU,BOKKOS,BOKKOS,UNG. HAUSAWA,31/03/01/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104006/result_92791_1677777354_thumb.jpg,true
PLATEAU,BOKKOS,BOKKOS,"PRIM. SCHOOL, MANDARKE",31/03/01/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104008/result_92793_1677777203_thumb.jpg,true
PLATEAU,BOKKOS,BOKKOS,"PRIM. SCHOOL, RUWI",31/03/01/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104010/result_92795_1677776872_thumb.jpg,true
PLATEAU,BOKKOS,BOKKOS,SHUKUR  I,31/03/01/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104004/result_92789_1677775420_thumb.jpg,true
PLATEAU,BOKKOS,BOKKOS,SHUKUR  II,31/03/01/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104013/result_92798_1677774994_thumb.jpg,true
PLATEAU,BOKKOS,BOKKOS,TAKAI  I,31/03/01/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3770/ward/25113/pu/105577/105577-1677456805.pdf,false
PLATEAU,BOKKOS,BOKKOS,PRI. SCH. WASHEN,31/03/01/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3770/ward/25113/pu/169356/169356-1677456573.pdf,false
PLATEAU,BOKKOS,BOKKOS,PRI.SCH. FWERE-YINTI,31/03/01/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/020/020-1677428481.pdf,false
PLATEAU,BOKKOS,BOKKOS,PRI. SCH. MALIM,31/03/01/027,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/027/027-1677427123.pdf,false
PLATEAU,BOKKOS,BOKKOS,PHC MUTFET,31/03/01/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/015/015-1677427040.pdf,false
PLATEAU,BOKKOS,BOKKOS,NOMADIC PRI.SCH.FWERE-KUNA,31/03/01/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/018/018-1677426534.pdf,false
PLATEAU,BOKKOS,BOKKOS,YOUTH CENTER,31/03/01/026,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/026/026-1677426427.pdf,false
PLATEAU,BOKKOS,BOKKOS,ISLAMMIYA PRI.SCH,31/03/01/024,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/024/024-1677425849.pdf,false
PLATEAU,BOKKOS,BOKKOS,OPEN SPACE UNGWAN HAUSAWA,31/03/01/033,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/033/033-1677425176.pdf,false
PLATEAU,BOKKOS,BOKKOS,COTTAGE HOSPITAL TADING,31/03/01/031,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/031/031-1677424325.pdf,false
