state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
PLATEAU,BOKKOS,MANGOR,"PRIM. SCHOOL, GAWARZA",31/03/06/001,,true
PLATEAU,BOKKOS,MANGOR,UNG. SARKI,31/03/06/002,,true
PLATEAU,BOKKOS,MANGOR,RAMTISHO,31/03/06/003,,true
PLATEAU,BOKKOS,MANGOR,"PRIM. SCHOOL, MANGOR",31/03/06/005,,true
PLATEAU,BOKKOS,MANGOR,PRI.SCH.LONGHAI,31/03/06/006,,true
PLATEAU,BOKKOS,MANGOR,CIRANG,31/03/06/004,,true
PLATEAU,BOKKOS,MANGOR,PRI.SCH. SHOROM,31/03/06/007,,true
PLATEAU,BOKKOS,MANGOR,PRI.SCH TUJE,31/03/06/008,,true
PLATEAU,BOKKOS,MANGOR,MILE 7,31/03/06/009,,true
PLATEAU,BOKKOS,MANGOR,PRI.SCH.TAHORE,31/03/06/010,,true
PLATEAU,BOKKOS,MANGOR,SANDARE,31/03/06/011,,true
PLATEAU,BOKKOS,MANGOR,RAMTIBUT,31/03/06/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/06/pu/012/012-1677401661.pdf,false
PLATEAU,BOKKOS,MANGOR,MAKUNDAN,31/03/06/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/06/pu/013/013-1677379089.pdf,false
