state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
PLATEAU,BOKKOS,TANGUR,PRI. SCH MUSHU II,31/03/13/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3770/ward/25125/pu/169450/169450-1677669763.pdf,false
PLATEAU,BOKKOS,TANGUR,BETHEL COLLEGE KADARAM MUSHU,31/03/13/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3770/ward/25125/pu/169451/169451-1677667963.pdf,false
PLATEAU,BOKKOS,TANGUR,NDUN,31/03/13/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3770/ward/25125/pu/105690/105690-1677667429.pdf,false
PLATEAU,BOKKOS,TANGUR,"PRY. SCHOOL, MANDUNG",31/03/13/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3770/ward/25125/pu/105692/105692-1677666544.pdf,false
PLATEAU,BOKKOS,TANGUR,PRY SCH PYAKMALU  I,31/03/13/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3770/ward/25125/pu/105687/105687-1677666456.pdf,false
PLATEAU,BOKKOS,TANGUR,"PRY. SCHOOL, TANGUR",31/03/13/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/13/pu/001/001-1677426028.pdf,false
PLATEAU,BOKKOS,TANGUR,PRI. SCH. FANDE,31/03/13/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/13/pu/017/017-1677419710.pdf,false
PLATEAU,BOKKOS,TANGUR,PRI.SCH FITMATORMAN,31/03/13/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/13/pu/015/015-1677419207.pdf,false
PLATEAU,BOKKOS,TANGUR,"PRY. SCHOOL, TANGUR",31/03/13/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/13/pu/009/009-1677417950.pdf,false
PLATEAU,BOKKOS,TANGUR,"PRY. SCHOOL, MANDUK",31/03/13/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/13/pu/002/002-1677417090.pdf,false
PLATEAU,BOKKOS,TANGUR,PRY SCH PYAKMALU  II,31/03/13/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/13/pu/004/004-1677415400.pdf,false
PLATEAU,BOKKOS,TANGUR,MPER,31/03/13/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/13/pu/007/007-1677403908.pdf,false
PLATEAU,BOKKOS,TANGUR,PRI. SCH. SANGYANG,31/03/13/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/13/pu/011/011-1677401790.pdf,false
PLATEAU,BOKKOS,TANGUR,PRI. SCH. MATALEM,31/03/13/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/13/pu/018/018-1677397913.pdf,false
PLATEAU,BOKKOS,TANGUR,PRI. SCH. LALEM,31/03/13/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/13/pu/010/010-1677396449.pdf,false
PLATEAU,BOKKOS,TANGUR,PRI. SCH. SHAMBRING,31/03/13/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/13/pu/016/016-1677395239.pdf,false
PLATEAU,BOKKOS,TANGUR,"PRY. SCHOOL, MUSHU",31/03/13/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/13/pu/005/005-1677374305.pdf,false
PLATEAU,BOKKOS,TANGUR,PRI. SCH KUKONG,31/03/13/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/13/pu/012/012-1677365773.pdf,false
