state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
PLATEAU,JOS SOUTH,DU,FWAVWAI,31/06/02/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104752/result_93244_1677510461_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,LAHWOL GUT,31/06/02/030,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665224/result_93264_1677492106_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,RAHWOL KANANG  I,31/06/02/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104754/result_93246_1677505027_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,TCNN II,31/06/02/052,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665246/result_93286_1677507038_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,KWANG  I,31/06/02/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104753/result_93245_1677513759_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,OLD GOVERNMENT HOUSE II,31/06/02/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104760/result_93252_1677512431_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,LATYA,31/06/02/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104750/result_93242_1677505014_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,RAHWOL KANANG  II,31/06/02/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104763/result_93255_1677505691_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,LAHWOL KANANG III,31/06/02/049,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665243/result_93283_1677509707_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,GURA-ZOT,31/06/02/046,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665240/result_93280_1677506887_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,FWAVWEI JIKU,31/06/02/043,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665237/result_93277_1677519742_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,OLD GOVT. HOUSE  1,31/06/02/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104748/result_93240_1677509392_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,FWI-GUT,31/06/02/032,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665226/result_93266_1677501581_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,T.C.N.N,31/06/02/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104755/result_93247_1677512177_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,LOH-YEP,31/06/02/047,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665241/result_93281_1677511427_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,LOHWOL-CHOM,31/06/02/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104758/result_93250_1677517806_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,FWAVWEI YABA,31/06/02/042,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665236/result_93276_1677515168_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,DILIMI/KWANG  11,31/06/02/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104762/result_93254_1677517011_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,FWATY,31/06/02/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,true
PLATEAU,JOS SOUTH,DU,TOPP LO KADANG,31/06/02/055,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665249/result_93289_1677515150_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,ROH-GUT III,31/06/02/029,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665223/result_93263_1677513943_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,DU EKAN PRY. SCHOOL,31/06/02/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104743/result_93235_1677503799_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,LATYI-DU   II,31/06/02/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104764/result_93256_1677506161_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,DOI,31/06/02/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104751/result_93243_1677496112_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,DU EKAN PRY. SCHOOL  11,31/06/02/024,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104766/result_93258_1677517536_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,ST. GEORGES PRY. SCHOOL   1,31/06/02/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104749/result_93241_1677513054_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,OLD GOVT. HOUSE  111,31/06/02/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104765/result_93257_1677510755_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,ST. GEORGES PRY. SCHOOL  11,31/06/02/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/104761/result_93253_1677504773_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,ROH-GUT II,31/06/02/028,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665222/result_93262_1677502087_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,ROH-TOPP,31/06/02/039,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665233/result_93273_1677502010_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,DURA II,31/06/02/054,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665248/result_93288_1677505389_thumb.jpg,true
PLATEAU,JOS SOUTH,DU,TUNDUNG,31/06/02/040,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665234/result_93274_1677576079_thumb.jpg,false
PLATEAU,JOS SOUTH,DU,LEKU SHEHE,31/06/02/056,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/665250/result_93290_1677582615_thumb.jpg,false
