state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
RIVERS,AHOADA EAST,AKOH  III,"IKOHU COMMUNITY HALL, ABARIKPO",32/02/13/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3785/ward/25304/pu/171504/171504-1677605971.pdf,true
RIVERS,AHOADA EAST,AKOH  III,"UMUCHI HALL, ABARIKPO",32/02/13/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3785/ward/25304/pu/107783/107783-1677605540.pdf,true
RIVERS,AHOADA EAST,AKOH  III,"UKANI-ULA HALL, IHUAJE I",32/02/13/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3785/ward/25304/pu/107787/107787-1677605242.pdf,true
RIVERS,AHOADA EAST,AKOH  III,"TOWN HALL, ABARIKPO I",32/02/13/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3785/ward/25304/pu/107786/107786-1677604081.pdf,true
RIVERS,AHOADA EAST,AKOH  III,"MARKET SQUARE, ABARIKPO",32/02/13/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3785/ward/25304/pu/107784/107784-1677603672.pdf,false
RIVERS,AHOADA EAST,AKOH  III,TOWN HALL OGBO I,32/02/13/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3785/ward/25304/pu/107782/107782-1677603369.pdf,true
RIVERS,AHOADA EAST,AKOH  III,"IBAGWA HALL, ABARIKPO",32/02/13/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3785/ward/25304/pu/107785/107785-1677602238.pdf,true
RIVERS,AHOADA EAST,AKOH  III,IGBUMEREHALL OGBO TOWN,32/02/13/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3785/ward/25304/pu/107780/107780-1677601559.pdf,true
RIVERS,AHOADA EAST,AKOH  III,TOWN HALL IHUAJE,32/02/13/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3785/ward/25304/pu/107788/107788-1677601475.pdf,false
RIVERS,AHOADA EAST,AKOH  III,TOWN HALL ULA-EHUDA,32/02/13/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3785/ward/25304/pu/107789/107789-1677601307.pdf,false
RIVERS,AHOADA EAST,AKOH  III,"UMU-OCHOR HALL, ULA EHUDA",32/02/13/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3785/ward/25304/pu/107790/107790-1677601109.pdf,false
RIVERS,AHOADA EAST,AKOH  III,AHOADA ROAD,32/02/13/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3785/ward/25304/pu/107791/107791-1677600861.pdf,false
RIVERS,AHOADA EAST,AKOH  III,UMUCHI HALL OGBO,32/02/13/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3785/ward/25304/pu/107779/107779-1677600758.pdf,false
RIVERS,AHOADA EAST,AKOH  III,ODAJE PLAYGROUND OGBO,32/02/13/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3785/ward/25304/pu/171503/171503-1677600125.pdf,false
RIVERS,AHOADA EAST,AKOH  III,UMU-ISHIENYI HALL ULA-EHUDA,32/02/13/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3785/ward/25304/pu/171505/171505-1677599241.pdf,false
RIVERS,AHOADA EAST,AKOH  III,STATE SCHOOL OGBO,32/02/13/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3785/ward/25304/pu/107781/107781-1677591420.pdf,true
RIVERS,AHOADA EAST,AKOH  III,ICHIDHIO HALL OGBO TOWN SQUARE,32/02/13/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3785/ward/25304/pu/107778/107778-1677582948.pdf,false
