state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
RIVERS,ANDONI,AGWUT-OBOLO,C.P.S. OYOROKOTO,32/05/03/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3788/ward/25336/pu/108154/108154-1677739689.pdf,true
RIVERS,ANDONI,AGWUT-OBOLO,OTUOKPORO ISIAMA VILLAGE SQUARE,32/05/03/025,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3788/ward/25336/pu/171634/171634-1677668861.pdf,false
RIVERS,ANDONI,AGWUT-OBOLO,EMENUDONG TOWN SQUARE,32/05/03/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3788/ward/25336/pu/108146/108146-1677667409.pdf,false
RIVERS,ANDONI,AGWUT-OBOLO,IWOMA VILLAGE SQUARE,32/05/03/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3788/ward/25336/pu/108140/108140-1677667407.pdf,false
RIVERS,ANDONI,AGWUT-OBOLO,ISIOKWAN OBOLO VILLAGE SQUARE I,32/05/03/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3788/ward/25336/pu/108145/108145-1677667294.pdf,false
RIVERS,ANDONI,AGWUT-OBOLO,AMA IBAMA VILLAGE SQUARE,32/05/03/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3788/ward/25336/pu/108149/108149-1677666927.pdf,false
RIVERS,ANDONI,AGWUT-OBOLO,OGWUINONU VILLAGE SQUARE,32/05/03/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3788/ward/25336/pu/108151/108151-1677666924.pdf,false
RIVERS,ANDONI,AGWUT-OBOLO,"C.P.S.OKOKIRI, OBOLO",32/05/03/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3788/ward/25336/pu/108156/108156-1677666435.pdf,false
RIVERS,ANDONI,AGWUT-OBOLO,OTURUBA VILLAGE SQUARE,32/05/03/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3788/ward/25336/pu/108147/108147-1677666264.pdf,false
RIVERS,ANDONI,AGWUT-OBOLO,ASIRIYORK VILLAGE SQUARE,32/05/03/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3788/ward/25336/pu/108159/108159-1677666263.pdf,false
RIVERS,ANDONI,AGWUT-OBOLO,IBOT ATUBOR ISIAMA VILLAGE SQUARE,32/05/03/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3788/ward/25336/pu/171633/171633-1677665970.pdf,true
RIVERS,ANDONI,AGWUT-OBOLO,SAMANGA VILLAGE SQUARE,32/05/03/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3788/ward/25336/pu/108144/108144-1677665853.pdf,true
RIVERS,ANDONI,AGWUT-OBOLO,EGWEEK ISIOKOP VILLAGE SQUARE,32/05/03/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3788/ward/25336/pu/108157/108157-1677665175.pdf,false
RIVERS,ANDONI,AGWUT-OBOLO,ISIAMA VILLAGE SQUARE,32/05/03/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3788/ward/25336/pu/108142/108142-1677664942.pdf,true
RIVERS,ANDONI,AGWUT-OBOLO,DEMA TOWN HALL,32/05/03/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3788/ward/25336/pu/108141/108141-1677664793.pdf,false
RIVERS,ANDONI,AGWUT-OBOLO,UKOTUNIN VILLAGE SQUARE,32/05/03/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3788/ward/25336/pu/108152/108152-1677664368.pdf,true
