state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
RIVERS,BONNY,OLOMA AYAMINIMA,"SCHOOL HALL, OLOMA",32/07/10/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3790/ward/25367/pu/108581/108581-1677795087.pdf,false
RIVERS,BONNY,OLOMA AYAMINIMA,"VILLAGE SQUARE, BURUKIRI",32/07/10/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3790/ward/25367/pu/108580/108580-1677794800.pdf,true
RIVERS,BONNY,OLOMA AYAMINIMA,ILOMA VILLAGE SQUARE II,32/07/10/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3790/ward/25367/pu/171785/171785-1677788659.pdf,true
RIVERS,BONNY,OLOMA AYAMINIMA,POLOKIRI VILLAGE SQUARE,32/07/10/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3790/ward/25367/pu/171784/171784-1677788474.pdf,true
RIVERS,BONNY,OLOMA AYAMINIMA,"TOWN HALL, OLOMA",32/07/10/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3790/ward/25367/pu/108586/108586-1677788375.pdf,true
RIVERS,BONNY,OLOMA AYAMINIMA,"VILLAGE SQUARE, ILOMA",32/07/10/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3790/ward/25367/pu/108582/108582-1677788106.pdf,true
RIVERS,BONNY,OLOMA AYAMINIMA,MINIMA TOWN SQUARE,32/07/10/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3790/ward/25367/pu/171786/171786-1677765940.pdf,false
RIVERS,BONNY,OLOMA AYAMINIMA,"VILLAGE SQUARE, AGBALAMA",32/07/10/008,,false
RIVERS,BONNY,OLOMA AYAMINIMA,IWOWARI OPEN SPACE EPELEMA,32/07/10/013,,false
RIVERS,BONNY,OLOMA AYAMINIMA,"VILLAGE SQUARE, ALASAKIRI",32/07/10/002,,false
RIVERS,BONNY,OLOMA AYAMINIMA,"VILLAGE SQUARE, SANGAMABIE",32/07/10/007,,false
RIVERS,BONNY,OLOMA AYAMINIMA,"VILLAGE SQUARE, FAKPA I & II",32/07/10/001,,false
RIVERS,BONNY,OLOMA AYAMINIMA,"VILLAGE SQUARE, EPELEMA",32/07/10/006,,false
