state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
RIVERS,GOKANA,BODO II,"STATE SCHOOL I BODO , GIOGON BANK III",32/12/02/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3795/ward/25431/pu/172115/172115-1677508918.pdf,false
RIVERS,GOKANA,BODO II,"STATE SCHOOL I, GBEREDEELA I",32/12/02/003,,false
RIVERS,GOKANA,BODO II,"STATE SCHOOL I BODO, NWEMUU I",32/12/02/008,,false
RIVERS,GOKANA,BODO II,"STATE SCHOOL I BODO, MAKIRI II",32/12/02/013,,false
RIVERS,GOKANA,BODO II,"STATE SCHOOL. I BODO, GIOGON BANK II",32/12/02/002,,false
RIVERS,GOKANA,BODO II,NDD MISSION GIOGON KAANI II,32/12/02/007,,false
RIVERS,GOKANA,BODO II,"STATE SCHOOL I BODO, MAKIRI I",32/12/02/012,,false
RIVERS,GOKANA,BODO II,"STATE SCHOOL. I BODO, GIOGON BANK I",32/12/02/001,,false
RIVERS,GOKANA,BODO II,NDD MISSION GIOGON KAANI I,32/12/02/006,,false
RIVERS,GOKANA,BODO II,"STATE SCHOOL I BODO, KOZO II",32/12/02/011,,false
RIVERS,GOKANA,BODO II,NDD MISSION. TOGBO NWEZOR,32/12/02/005,,false
RIVERS,GOKANA,BODO II,"STATE SCHOOL I BODO, KOZO I",32/12/02/010,,false
RIVERS,GOKANA,BODO II,"STATE SCHOOL I, BODO, GBEREDEELA II",32/12/02/004,,false
RIVERS,GOKANA,BODO II,"STATE SCHOOL I BODO, NWEMUU II",32/12/02/009,,false
