state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
RIVERS,KHANA,BEERI,EETE TAA SAAH,32/14/09/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3797/ward/25468/pu/172326/172326-1677765131.pdf,true
RIVERS,KHANA,BEERI,EETE OBE,32/14/09/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3797/ward/25468/pu/172325/172325-1677764845.pdf,false
RIVERS,KHANA,BEERI,EETE WIIZOR,32/14/09/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3797/ward/25468/pu/172324/172324-1677764187.pdf,false
RIVERS,KHANA,BEERI,EETE GARAKWARI,32/14/09/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3797/ward/25468/pu/172323/172323-1677763664.pdf,false
RIVERS,KHANA,BEERI,EETE TEZOR,32/14/09/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3797/ward/25468/pu/172322/172322-1677762277.pdf,false
RIVERS,KHANA,BEERI,EETE MII,32/14/09/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3797/ward/25468/pu/172321/172321-1677761293.pdf,false
RIVERS,KHANA,BEERI,TOWN HALL NYOGOR,32/14/09/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3797/ward/25468/pu/172319/172319-1677760960.pdf,false
RIVERS,KHANA,BEERI,EETE GBENEBE,32/14/09/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3797/ward/25468/pu/172318/172318-1677760631.pdf,false
RIVERS,KHANA,BEERI,GREATER EVANGELISM  JUNCTION,32/14/09/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3797/ward/25468/pu/172317/172317-1677759949.pdf,false
RIVERS,KHANA,BEERI,EETE YOR,32/14/09/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
RIVERS,KHANA,BEERI,EETE SAAH,32/14/09/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/108668/result_12515_1677601486_thumb.jpg,false
RIVERS,KHANA,BEERI,EETE BUEMENEYOR,32/14/09/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/108667/result_12514_1677598851_thumb.jpg,false
RIVERS,KHANA,BEERI,WIIMAA,32/14/09/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/108666/result_12513_1677597616_thumb.jpg,false
RIVERS,KHANA,BEERI,EETE DEEGOR,32/14/09/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/108665/result_12512_1677596352_thumb.jpg,false
RIVERS,KHANA,BEERI,EETE NYOGOR,32/14/09/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/108664/result_12511_1677596200_thumb.jpg,false
RIVERS,KHANA,BEERI,EETE LUERE,32/14/09/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/108663/result_12510_1677595206_thumb.jpg,false
RIVERS,KHANA,BEERI,EETE GUI,32/14/09/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/108662/result_12509_1677594349_thumb.jpg,false
RIVERS,KHANA,BEERI,TEZOR,32/14/09/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/108661/result_12508_1677594102_thumb.jpg,false
RIVERS,KHANA,BEERI,EETE NYOWII,32/14/09/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/108660/result_12507_1677591511_thumb.jpg,false
RIVERS,KHANA,BEERI,EETE LUERI I,32/14/09/011,,false
RIVERS,KHANA,BEERI,C.P.S LUEGBOR,32/14/09/016,,false
RIVERS,KHANA,BEERI,ASSEMBLY OF GOD JUNCTION,32/14/09/012,,false
