state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
RIVERS,OBIO/AKPOR,RUMUODOMAYA (3A),TOWN HALL RUMUODOMAYA I,32/15/04/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/108892/result_12913_1677506058_thumb.jpg,true
RIVERS,OBIO/AKPOR,RUMUODOMAYA (3A),"OPEN SPACE BY AGORONDU STREET, OPPOSITE CHIEF MAGISTRATE COURT,  ALHAJI ESTATE ROAD",32/15/04/027,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3798/ward/25482/pu/172482/172482-1677506471.pdf,false
RIVERS,OBIO/AKPOR,RUMUODOMAYA (3A),COMMUNITY SEC SCH I UBE BY ADP ROAD,32/15/04/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3798/ward/25482/pu/172479/172479-1677503258.pdf,false
RIVERS,OBIO/AKPOR,RUMUODOMAYA (3A),"OPEN SPACE BY MINI-EWA ROAD TIMBER MARKET, RUMUOBIOKANI",32/15/04/048,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3798/ward/25482/pu/172503/172503-1677502229.pdf,false
RIVERS,OBIO/AKPOR,RUMUODOMAYA (3A),OPEN SPACE BY RUKPAKWADIMA MARKET,32/15/04/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3798/ward/25482/pu/172478/172478-1677492882.pdf,false
RIVERS,OBIO/AKPOR,RUMUODOMAYA (3A),COMMUNITY SEC SCH II BY ADP ROAD,32/15/04/025,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3798/ward/25482/pu/172480/172480-1677492548.pdf,false
RIVERS,OBIO/AKPOR,RUMUODOMAYA (3A),"OPEN SPACE BY SCHOOL ROAD , FORMER COMM. MODEL SCH RUMUODOMAYA",32/15/04/030,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3798/ward/25482/pu/172485/172485-1677492321.pdf,false
RIVERS,OBIO/AKPOR,RUMUODOMAYA (3A),"OPEN SPACE OPPOSITE POWER TRANSMISSION STATION,RUMUOBIOKANI",32/15/04/045,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3798/ward/25482/pu/172500/172500-1677492218.pdf,false
RIVERS,OBIO/AKPOR,RUMUODOMAYA (3A),"OPEN SPACE BY ZION STREET, OMACHI LL RUMUODOMAYA",32/15/04/029,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3798/ward/25482/pu/172484/172484-1677492184.pdf,false
RIVERS,OBIO/AKPOR,RUMUODOMAYA (3A),"OPEN SPACE BY OMACHI ROAD 1 ,GRAIL MESSAGE JUNCTION RUMUODOMAYA",32/15/04/028,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3798/ward/25482/pu/172483/172483-1677492098.pdf,false
