state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
RIVERS,OMUMA,OBIOHIA COMMUNITY,UMUAGWU VILLAGE CENTRE I,32/19/03/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3802/ward/25538/pu/110880/110880-1677582425.pdf,true
RIVERS,OMUMA,OBIOHIA COMMUNITY,VILLAGE CENTRE UMUAZUONWU I,32/19/03/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3802/ward/25538/pu/110875/110875-1677582062.pdf,true
RIVERS,OMUMA,OBIOHIA COMMUNITY,OKPULOR I VILLAGE SQUARE II,32/19/03/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3802/ward/25538/pu/110874/110874-1677582041.pdf,true
RIVERS,OMUMA,OBIOHIA COMMUNITY,UMUOKORO VILLAGE CENTRE,32/19/03/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3802/ward/25538/pu/110870/110870-1677581831.pdf,true
RIVERS,OMUMA,OBIOHIA COMMUNITY,UMUALUO II TOWN HALL,32/19/03/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3802/ward/25538/pu/110872/110872-1677581725.pdf,true
RIVERS,OMUMA,OBIOHIA COMMUNITY,"TOWN HALL, UMUAGWU-OKPULOR II",32/19/03/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3802/ward/25538/pu/110884/110884-1677581607.pdf,true
RIVERS,OMUMA,OBIOHIA COMMUNITY,"TOWN HALL, UMUNWAFORSHI",32/19/03/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3802/ward/25538/pu/110877/110877-1677581578.pdf,true
RIVERS,OMUMA,OBIOHIA COMMUNITY,UMULO I VILLAGE HALL I,32/19/03/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3802/ward/25538/pu/110868/110868-1677581571.pdf,true
RIVERS,OMUMA,OBIOHIA COMMUNITY,UMUAGWU VILLAGE CENTRE II,32/19/03/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3802/ward/25538/pu/110881/110881-1677581568.pdf,true
RIVERS,OMUMA,OBIOHIA COMMUNITY,"UMUNWAOGO COMPOUND SQUARE, UMULOR III",32/19/03/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3802/ward/25538/pu/110882/110882-1677580944.pdf,true
RIVERS,OMUMA,OBIOHIA COMMUNITY,"UMUNWAOGO COMPOUND SQUARE, UMULOR IV",32/19/03/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3802/ward/25538/pu/110883/110883-1677580889.pdf,true
RIVERS,OMUMA,OBIOHIA COMMUNITY,UMULO I VILLAGE HALL II,32/19/03/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3802/ward/25538/pu/110869/110869-1677580834.pdf,true
RIVERS,OMUMA,OBIOHIA COMMUNITY,"UMUAKPILI VILLAGE HALL, UMUAKPILI",32/19/03/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3802/ward/25538/pu/110867/110867-1677580788.pdf,true
RIVERS,OMUMA,OBIOHIA COMMUNITY,"UMUAKPILI VILLAGE HALL, UMUOFOR",32/19/03/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3802/ward/25538/pu/110865/110865-1677580785.pdf,true
RIVERS,OMUMA,OBIOHIA COMMUNITY,STATE SCHOOL UMUADI/UMUAGWU,32/19/03/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3802/ward/25538/pu/110879/110879-1677580677.pdf,true
RIVERS,OMUMA,OBIOHIA COMMUNITY,VILLAGE CENTRE UMUAZUONWU II,32/19/03/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3802/ward/25538/pu/110876/110876-1677580604.pdf,true
RIVERS,OMUMA,OBIOHIA COMMUNITY,STATE SCHOOL UMUALUO I/OBIOHIA,32/19/03/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3802/ward/25538/pu/110871/110871-1677580531.pdf,true
RIVERS,OMUMA,OBIOHIA COMMUNITY,"UMUAKPILI VILLAGE HALL, UMUNWERE",32/19/03/002,,false
RIVERS,OMUMA,OBIOHIA COMMUNITY,OKPULOR I VILLAGE SQUARE I,32/19/03/009,,false
RIVERS,OMUMA,OBIOHIA COMMUNITY,"UMUNACHI TOWN HALL, UMUOKPORO",32/19/03/014,,false
