state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),RUMKPAILU KWUOZO HALL I,32/22/14/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/110546/result_15811_1677369655_thumb.jpg,true
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),IGWE HALL II,32/22/14/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3805/ward/25580/pu/173652/173652-1677587729.pdf,true
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),IGWE HALL I,32/22/14/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3805/ward/25580/pu/173651/173651-1677587208.pdf,true
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),EGEDE STREET IX OPEN SPACE BY OBI,32/22/14/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3805/ward/25580/pu/173650/173650-1677561341.pdf,true
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),EGEDE STREET VIII BY ARUNDU JUNCTION,32/22/14/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3805/ward/25580/pu/173649/173649-1677525138.pdf,false
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),MGBUNDUKWU HALL I,32/22/14/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3805/ward/25580/pu/111639/111639-1677523562.pdf,false
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),EGEDE STREET VII,32/22/14/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3805/ward/25580/pu/173648/173648-1677516193.pdf,false
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),EGEDE STREET VI,32/22/14/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3805/ward/25580/pu/173647/173647-1677515018.pdf,false
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),MGBUNDUKWU HALL V,32/22/14/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3805/ward/25580/pu/173646/173646-1677514511.pdf,false
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),MGBUNDUKWU HALL IV,32/22/14/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3805/ward/25580/pu/111649/111649-1677513860.pdf,false
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),MGBUNDUKWU HALL III,32/22/14/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3805/ward/25580/pu/111648/111648-1677513249.pdf,false
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),RUMKPAILU KWUOZO HALL II,32/22/14/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3805/ward/25580/pu/111646/111646-1677512072.pdf,false
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),EGEDE STREET V,32/22/14/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3805/ward/25580/pu/111644/111644-1677510783.pdf,false
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),EGEDE STREET IV,32/22/14/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3805/ward/25580/pu/111643/111643-1677509858.pdf,false
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),EGEDE STREET III,32/22/14/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3805/ward/25580/pu/111642/111642-1677509157.pdf,false
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),EGEDE STREET II,32/22/14/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3805/ward/25580/pu/111641/111641-1677508733.pdf,false
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),EGEDE STREET I,32/22/14/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3805/ward/25580/pu/111640/111640-1677507525.pdf,false
RIVERS,PORT HARCOURT,MGBUNDUKWU (ONE),MGBUNDUKWU HALL II,32/22/14/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/22/ward/14/pu/009/009-1677377257.pdf,false
