state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
SOKOTO,GWADABAWA,ASARA  AREWA,"PRY SCH, BAUDA",33/07/02/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3813/ward/25662/pu/112676/112676-1677765462.pdf,false
SOKOTO,GWADABAWA,ASARA  AREWA,"PRY SCH HURA, HURA/MAGAMA",33/07/02/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3813/ward/25662/pu/112679/112679-1677762749.pdf,false
SOKOTO,GWADABAWA,ASARA  AREWA,"TSAKAR GARI, ZANGO NAHANTSI",33/07/02/004,https://docs.inecelectionresults.net/elections/1292/1677761299-112675.pdf,false
SOKOTO,GWADABAWA,ASARA  AREWA,"PRY SCH T. MUWAILA, TUDUN MUWAILA",33/07/02/009,,true
SOKOTO,GWADABAWA,ASARA  AREWA,"TSAKAR GARI, GIDAN ANAZAR",33/07/02/003,,false
SOKOTO,GWADABAWA,ASARA  AREWA,"TSAKAR GARI, MAKINA MAIFUCHI",33/07/02/007,,false
SOKOTO,GWADABAWA,ASARA  AREWA,"TSAKAR GARI, MALLAMAWA/KAGALABA",33/07/02/012,,false
SOKOTO,GWADABAWA,ASARA  AREWA,"BAKIN MASALACI, MAKINA ALFARMA",33/07/02/006,,false
SOKOTO,GWADABAWA,ASARA  AREWA,"PRY SCH, MAMMAN SUKA G. GEZA",33/07/02/011,,false
SOKOTO,GWADABAWA,ASARA  AREWA,"SHIYAR HAKIMI, MAKINA ALFARMA",33/07/02/014,,false
SOKOTO,GWADABAWA,ASARA  AREWA,"DISPENSARY, FADAN KAI",33/07/02/013,,false
SOKOTO,GWADABAWA,ASARA  AREWA,"SHIYAR HAKIMI, MAMAN SUKA GARI",33/07/02/010,,false
SOKOTO,GWADABAWA,ASARA  AREWA,"GARI, MAMMAN SUKA",33/07/02/002,,false
SOKOTO,GWADABAWA,ASARA  AREWA,"SHIYAR HAKIMI, FADAN KAI",33/07/02/001,,false
