state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
SOKOTO,KEBBE,KEBBE EAST,"DUKURA A, DUKURA D/HILI",33/11/01/004,,false
SOKOTO,KEBBE,KEBBE EAST,BALIJAN D/HILI,33/11/01/009,,false
SOKOTO,KEBBE,KEBBE EAST,"SHIYAR  SABON GARI, GARKAR ALH. MUSA",33/11/01/003,,false
SOKOTO,KEBBE,KEBBE EAST,"MALLAMAWA, GARKAR M. NAINU",33/11/01/008,,false
SOKOTO,KEBBE,KEBBE EAST,"SHIYAR  UBAWAWAKI, GARKAR HASHIM",33/11/01/001,,false
SOKOTO,KEBBE,KEBBE EAST,"KUNKURU, D/HILI",33/11/01/005,,false
SOKOTO,KEBBE,KEBBE EAST,"SHIYAR  UBANDAWARI, M.P.SCH",33/11/01/006,,false
SOKOTO,KEBBE,KEBBE EAST,TUDUN WADA GOVT GIRLS,33/11/01/010,,false
SOKOTO,KEBBE,KEBBE EAST,SABON GARI MA'AUNA,33/11/01/011,,false
SOKOTO,KEBBE,KEBBE EAST,"TUDUNWADA, T/WADA PRY SCH",33/11/01/002,,false
SOKOTO,KEBBE,KEBBE EAST,"DUKURA B, D/HILI",33/11/01/007,,false
SOKOTO,KEBBE,KEBBE EAST,SH. U/DAWAKI OLD POLICE STATION,33/11/01/012,,false
