state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
SOKOTO,S/BIRNI,UNGUWAR LALLE,MAZAU,33/13/04/008,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,SANGERAWA,33/13/04/013,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,ALUMUDAWA - ALUMUDAWA,33/13/04/018,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,SABON SARA - SABON SARA,33/13/04/007,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,TAGIRKE,33/13/04/012,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,BUDDARAWA - BUDDARAWA,33/13/04/017,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,MAGARAU - MAGARAU,33/13/04/010,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,MALLAMAWA - MALLAMAWA,33/13/04/009,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,GAYYA DA KWARI,33/13/04/015,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,GIDAN GADO,33/13/04/014,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,U/LALLE PRI. SCH.,33/13/04/020,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,SHIYAR IBRAHIM YELOW,33/13/04/019,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,TURTSAWA - TURTSAWA,33/13/04/006,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,KIRATAWA,33/13/04/011,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,TAMIN DAWA - TAMIN DAWA,33/13/04/016,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,OLD DISPENSARY U/LALLE,33/13/04/021,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,RIMAWA,33/13/04/003,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,SHIYAR GAWO,33/13/04/002,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,MASHAYA - MASHAYA,33/13/04/005,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,MARINA - MARINA,33/13/04/004,,false
SOKOTO,S/BIRNI,UNGUWAR LALLE,Y. C KANWURI,33/13/04/001,,false
