state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',MASALLACI N ADAMAWA,33/17/01/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/113988/113988-1677528944.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',OFFISHIN HAKIMI I,33/17/01/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/113982/113982-1677527754.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',OPP MARINA POLICE BARRACK,33/17/01/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/174462/174462-1677526797.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',NEAR MAYANA PLAZA,33/17/01/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/174463/174463-1677524938.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',GARKAR SARKIN TASHA I,33/17/01/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/113991/113991-1677524799.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',SPECIALIST HOSPITAL,33/17/01/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/113997/113997-1677523983.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',NEAR MARINA JUMU'AT MOSQUE,33/17/01/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/174464/174464-1677523903.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',G. DAN MAIRI,33/17/01/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/113995/113995-1677522652.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',G DAN GOGGO,33/17/01/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/113984/113984-1677522150.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',KASUWA MARINA TSAMIYA I,33/17/01/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/113989/113989-1677520427.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',GARKAR SARKIN KUDUN GUSAU II,33/17/01/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/113996/113996-1677520034.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',BORE HOLE OPPOSITE  G BASAKKWACE,33/17/01/025,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/174465/174465-1677518939.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',NEAR MAL BUDA MOSQUE,33/17/01/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/174459/174459-1677518835.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',KASUWA MARINA TSAMIYA II,33/17/01/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/113990/113990-1677516764.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',GARKAR HALI WANGARAWA,33/17/01/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/113986/113986-1677512635.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',ASSIBITIN KUTARE,33/17/01/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/113980/113980-1677511200.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',G.  MAI GWANDU,33/17/01/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/113987/113987-1677510941.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',OPPOSITE ABU ZORO,33/17/01/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/174460/174460-1677510212.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',G DAN LELE,33/17/01/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/113985/113985-1677510142.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',GARKA YAWO,33/17/01/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/113981/113981-1677508778.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',GARKAR SARKIN TASHA II,33/17/01/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/113992/113992-1677507947.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',GARKA MAIFADA,33/17/01/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25767/pu/113993/113993-1677503618.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',NEAR POST OFFICE,33/17/01/021,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/01/pu/021/021-1677424278.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',OFFISHIN HAKIMI II,33/17/01/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/01/pu/004/004-1677416715.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'A',GARKAR SARKIN KUDUN GASAU I,33/17/01/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/01/pu/015/015-1677405335.pdf,false
