state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',KASUWAR RIJIYA I,33/17/02/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114021/114021-1677534093.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',GARKA MALAM ABI,33/17/02/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114020/114020-1677534057.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',MAIKAHON KARO. II,33/17/02/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114019/114019-1677533892.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',ORPHANAGE,33/17/02/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114015/114015-1677532879.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',GARKAR AMADU GURZAU I,33/17/02/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114007/114007-1677532202.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',GARKA ZARUMI,33/17/02/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114006/114006-1677531443.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',ILLELA H/SURUWA I,33/17/02/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114003/114003-1677497015.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',OPP. ELAQIL BOOKSHOP LODGE ROAD,33/17/02/034,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/174472/174472-1677496091.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',OPP. MAIGERO THEATRE,33/17/02/029,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/174467/174467-1677495567.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',CITY CAMPUS I,33/17/02/026,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114023/114023-1677494995.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',MEAR M.K/ATIKU PLAZA.,33/17/02/036,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/174474/174474-1677494357.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',ALI AKILU RD. OPP. S/SUDAN MOSQUE,33/17/02/033,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/174471/174471-1677482648.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',GOVT.HOUSE,33/17/02/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114005/114005-1677467377.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',TUNAU MAFARA II,33/17/02/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/113999/113999-1677466838.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',SHINKAFI ROAD OPP. RAMP,33/17/02/030,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/174468/174468-1677465998.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',OPP. GARKAR HAIDARA,33/17/02/028,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/174466/174466-1677465673.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',P AND T II,33/17/02/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114012/114012-1677464213.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',ILLELA H/SURUWA II,33/17/02/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114004/114004-1677463846.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',ALH BAKALE,33/17/02/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114009/114009-1677463548.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',TUNAU MAFARA I,33/17/02/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/113998/113998-1677462766.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',GARKI MOYI KAURA,33/17/02/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114000/114000-1677462230.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',P AND T I,33/17/02/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114011/114011-1677461939.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',BATH ROAD,33/17/02/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114014/114014-1677461354.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',WALIN SOKOTO,33/17/02/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114013/114013-1677460994.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',SHEIK GUMMI I,33/17/02/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114016/114016-1677460550.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',CITY CAMPUS GATE OUTSIDE,33/17/02/037,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/174475/174475-1677460149.pdf,false
SOKOTO,SOKOTO SOUTH,R/DOROWA 'B',CITY CAMPUS II,33/17/02/027,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3823/ward/25768/pu/114024/114024-1677459763.pdf,false
