state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
TARABA,ARDO - KOLA,SUNKANI,WURO ISHAKU GARIN MODIBBO DISPENSARY,34/01/08/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3830/ward/25848/pu/174894/174894-1677593594.pdf,true
TARABA,ARDO - KOLA,SUNKANI,GDSS SUNKANI  FOOTBALL FIELD III,34/01/08/023,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/023/023-1677359775.pdf,false
TARABA,ARDO - KOLA,SUNKANI,"DISPENSARY, NEAR DISPENSARY",34/01/08/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/005/005-1677406959.pdf,false
TARABA,ARDO - KOLA,SUNKANI,"BABA JIKA, NEAR MARKET",34/01/08/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/004/004-1677405982.pdf,false
TARABA,ARDO - KOLA,SUNKANI,SABON LAYI PRIMARY SCH,34/01/08/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/012/012-1677401840.pdf,false
TARABA,ARDO - KOLA,SUNKANI,"ADAMU CHAMBA, BEHIND MOSQUE",34/01/08/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/001/001-1677393374.pdf,false
TARABA,ARDO - KOLA,SUNKANI,BABA JIKA TOWN HALL,34/01/08/028,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/028/028-1677392021.pdf,false
TARABA,ARDO - KOLA,SUNKANI,"GDSS, GDSS GROUND",34/01/08/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/006/006-1677390947.pdf,false
TARABA,ARDO - KOLA,SUNKANI,DISPENSARY  MOTOR PARK II,34/01/08/024,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/024/024-1677389380.pdf,false
TARABA,ARDO - KOLA,SUNKANI,"ALIMFULANI, OPEN SPACE IN TOWN",34/01/08/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/002/002-1677386145.pdf,false
TARABA,ARDO - KOLA,SUNKANI,"ANGUWAN SOKI,  MARKET SQUARE",34/01/08/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/003/003-1677374818.pdf,false
TARABA,ARDO - KOLA,SUNKANI,GDSS SUNKANI FOOTBALL FIELD I,34/01/08/021,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/021/021-1677371179.pdf,false
TARABA,ARDO - KOLA,SUNKANI,GDSS SUNKANI FOOTBALL FIELD,34/01/08/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/020/020-1677370782.pdf,false
TARABA,ARDO - KOLA,SUNKANI,KWANAN DUTSE PRIMARY SCHOOL,34/01/08/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/016/016-1677370198.pdf,false
TARABA,ARDO - KOLA,SUNKANI,"WURO ISHAKU, OPP. SECRETARIAT",34/01/08/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/008/008-1677370094.pdf,false
TARABA,ARDO - KOLA,SUNKANI,DISPENSARY MOTOR PARK I,34/01/08/025,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/025/025-1677370033.pdf,false
TARABA,ARDO - KOLA,SUNKANI,DIVOHPRIMARY SCHOOL,34/01/08/033,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/033/033-1677369875.pdf,false
TARABA,ARDO - KOLA,SUNKANI,ANG.SOKI DISPENSARY I,34/01/08/032,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/032/032-1677369573.pdf,false
TARABA,ARDO - KOLA,SUNKANI,ALIM FULANIPRIMARY SCHOOL.,34/01/08/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/018/018-1677369217.pdf,false
TARABA,ARDO - KOLA,SUNKANI,UBEA GATE,34/01/08/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/011/011-1677368990.pdf,false
TARABA,ARDO - KOLA,SUNKANI,DISPENSARY MOTOR PARK IV,34/01/08/027,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/027/027-1677365632.pdf,false
TARABA,ARDO - KOLA,SUNKANI,"SABON LAYI, ANGUWAN SABON LAYI",34/01/08/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/007/007-1677365549.pdf,false
TARABA,ARDO - KOLA,SUNKANI,ADAMU CHAMBA PRIMARY HEALTH CARE,34/01/08/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/015/015-1677365515.pdf,false
TARABA,ARDO - KOLA,SUNKANI,SABON LAYIPRIMARY SCHOOL II,34/01/08/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/009/009-1677364927.pdf,false
TARABA,ARDO - KOLA,SUNKANI,DISPENSARY MOTOR PARK III,34/01/08/026,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/026/026-1677363620.pdf,false
TARABA,ARDO - KOLA,SUNKANI,LGA SEC.GATE,34/01/08/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/010/010-1677362414.pdf,false
TARABA,ARDO - KOLA,SUNKANI,NUT HULL,34/01/08/031,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/031/031-1677361678.pdf,false
TARABA,ARDO - KOLA,SUNKANI,WURO ISHAKU PRIMARY SCHOOL,34/01/08/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/014/014-1677360842.pdf,false
TARABA,ARDO - KOLA,SUNKANI,GDSS SUNKANI  FOOTBALL FIED II,34/01/08/022,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/022/022-1677360326.pdf,false
TARABA,ARDO - KOLA,SUNKANI,BABA JIKA 1ST REFERRAL HOSPITAL I,34/01/08/030,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/030/030-1677360249.pdf,false
TARABA,ARDO - KOLA,SUNKANI,ADAMU CHAMBA MARKET SQUARE,34/01/08/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/017/017-1677359619.pdf,false
TARABA,ARDO - KOLA,SUNKANI,ALIM FULANI KWANA MARKET SQUARE,34/01/08/019,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/019/019-1677359430.pdf,false
TARABA,ARDO - KOLA,SUNKANI,BABA JIKA TOWN HALL II,34/01/08/029,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/08/pu/029/029-1677359349.pdf,false
