state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
TARABA,DONGA,AKATE,"MBASA, MBASA VILLAGE",34/03/01/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/007/007-1677377051.pdf,false
TARABA,DONGA,AKATE,"OLD DESPENSARY,OPP.UPPER BENUE",34/03/01/021,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/021/021-1677376680.pdf,false
TARABA,DONGA,AKATE,"K/S/AKATE, KOFAR SARKIN AKATE",34/03/01/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/009/009-1677376411.pdf,false
TARABA,DONGA,AKATE,AMUR PRIMARY SCHOOL,34/03/01/024,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/024/024-1677376346.pdf,false
TARABA,DONGA,AKATE,AKINDEPRIMARY SCHOOL MBAKUMBOL,34/03/01/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/016/016-1677375544.pdf,false
TARABA,DONGA,AKATE,"TOR MANGER,TOR MANGEPRIMARY SCHOOL",34/03/01/026,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/026/026-1677375396.pdf,false
TARABA,DONGA,AKATE,GDSS TOR DAMISA,34/03/01/025,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/025/025-1677375297.pdf,false
TARABA,DONGA,AKATE,GDSS AKATE,34/03/01/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/013/013-1677373678.pdf,false
TARABA,DONGA,AKATE,"GBUNDU, GBUNDU PRIMARY SCHOOL",34/03/01/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/004/004-1677374128.pdf,false
TARABA,DONGA,AKATE,"JOHN HALL,UPPER BENUE OPEN SPACE",34/03/01/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/020/020-1677373994.pdf,false
TARABA,DONGA,AKATE,TOR- GENYIPRIMARY SCHOOL,34/03/01/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/017/017-1677373802.pdf,false
TARABA,DONGA,AKATE,AFOGBAPRIMARY SCHOOL.,34/03/01/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/018/018-1677373410.pdf,false
TARABA,DONGA,AKATE,"AKATE III, AKATE DISPENSARY",34/03/01/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/003/003-1677372699.pdf,false
TARABA,DONGA,AKATE,"MATERNITY GATE , AKATE",34/03/01/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/014/014-1677372045.pdf,false
TARABA,DONGA,AKATE,"AKATE I, AKATE PRIMARY SCHOOL",34/03/01/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/001/001-1677370683.pdf,false
TARABA,DONGA,AKATE,ABEDAPRIMARY SCHOOL,34/03/01/022,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/01/pu/022/022-1677370198.pdf,false
