state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
TARABA,KARIM-LAMIDO,BACHAMA,"KWEM, GINDIN NEEM",34/08/03/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/175645/175645-1677686241.pdf,false
TARABA,KARIM-LAMIDO,BACHAMA,KUMUYEL PRIMARY SCHOOLKUMUYEL,34/08/03/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/175647/175647-1677685717.pdf,false
TARABA,KARIM-LAMIDO,BACHAMA,ANG. J/MUSA KAMUWEL PRIMARY SCHOOL,34/08/03/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/175646/175646-1677685430.pdf,false
TARABA,KARIM-LAMIDO,BACHAMA,"SENGE POLICE STATION, SENGE",34/08/03/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/175644/175644-1677684863.pdf,false
TARABA,KARIM-LAMIDO,BACHAMA,ANG. BEGELE PRIMARY SCHOOL,34/08/03/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/175643/175643-1677684682.pdf,false
TARABA,KARIM-LAMIDO,BACHAMA,"ANG. WAKILI, ANG. WAKILI",34/08/03/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/115814/115814-1677684487.pdf,false
TARABA,KARIM-LAMIDO,BACHAMA,"ANG. TURBAN/YAKUBU, ANG. TURBAN/YAKUBU",34/08/03/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/115813/115813-1677684286.pdf,false
TARABA,KARIM-LAMIDO,BACHAMA,"ANG. SENGE, ANG. SENGE",34/08/03/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/115812/115812-1677683891.pdf,false
TARABA,KARIM-LAMIDO,BACHAMA,"ANG. SARKI MAIDOKI, ANG. SARKI MAIDOKI",34/08/03/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/115811/115811-1677683517.pdf,false
TARABA,KARIM-LAMIDO,BACHAMA,"ANG. PAREJE, ANG.PAREJE",34/08/03/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/115810/115810-1677683222.pdf,false
TARABA,KARIM-LAMIDO,BACHAMA,"ANG. PARA, ANG. PARA",34/08/03/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/115809/115809-1677682909.pdf,false
TARABA,KARIM-LAMIDO,BACHAMA,"ANG. MAL. SHEHU, ANG. MALLAM SHEHU",34/08/03/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/115808/115808-1677682356.pdf,false
TARABA,KARIM-LAMIDO,BACHAMA,"ANG. KAKKALA, ANG. KAKKALA",34/08/03/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/115807/115807-1677682024.pdf,false
TARABA,KARIM-LAMIDO,BACHAMA,"ANG. J. MANGA, ANG. J. MANGA",34/08/03/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/115806/115806-1677681853.pdf,false
TARABA,KARIM-LAMIDO,BACHAMA,"ANG. J. BAYERO/GORJO, ANG. J. BAYERO/GORJO",34/08/03/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/115805/115805-1677681675.pdf,true
TARABA,KARIM-LAMIDO,BACHAMA,"ANG. J. ALI, ANG. J. ALI",34/08/03/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/115804/115804-1677681402.pdf,false
TARABA,KARIM-LAMIDO,BACHAMA,"ANG. ANJODDO, ANG. ANJODDO",34/08/03/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/115803/115803-1677681076.pdf,true
TARABA,KARIM-LAMIDO,BACHAMA,"ANG. ANGULE, ANG. ANGULE",34/08/03/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25916/pu/115802/115802-1677679492.pdf,false
