state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
TARABA,KARIM-LAMIDO,"KARIM ""A""",MINGHE GINDIN KADANYA,34/08/09/034,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175717/175717-1677680777.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""","KASUWA, AURO LACCA",34/08/09/033,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175716/175716-1677680618.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""",ANG. MALIKI OPEN SPACE,34/08/09/032,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175715/175715-1677680150.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""",USMANU PRIMARY SCHOOL,34/08/09/031,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175714/175714-1677679851.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""",YOLDE MOTAWO PRIMARY SCHOOL,34/08/09/030,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175713/175713-1677679553.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""",WURO BIRI GIDIN MANGORO,34/08/09/029,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175712/175712-1677679304.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""",ANG. GAMJI GINDIN MANGORO,34/08/09/028,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175711/175711-1677679107.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""","GINDIN RIMI ANG. DARE, KARIM",34/08/09/027,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175710/175710-1677678837.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""",ANG. BALASA GINDIN NEEM,34/08/09/026,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175709/175709-1677678221.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""",TSOHON TIKE KARIM,34/08/09/025,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175708/175708-1677677999.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""",TSOHON TASHA KARIM,34/08/09/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175707/175707-1677676889.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""",ANG. GAGARE MOTOR PARK,34/08/09/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175706/175706-1677676275.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""","ANG. YIDI, GIDIN NEEM",34/08/09/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175705/175705-1677675641.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""",STATE LOW-COST QTRS. KARIM,34/08/09/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175704/175704-1677674802.pdf,true
TARABA,KARIM-LAMIDO,"KARIM ""A""",ANG. MAI KASADA,34/08/09/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175703/175703-1677674586.pdf,true
TARABA,KARIM-LAMIDO,"KARIM ""A""",PRISON SERVICE,34/08/09/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175702/175702-1677673143.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""",KASUWAR SHANU KARIM,34/08/09/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175701/175701-1677672869.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""",OPP. POLICE H/QUARTERS KARIM-LAMIDO,34/08/09/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175700/175700-1677671987.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""","ALLOPON OFFICE MONDAY MKT., K/LAMIDO",34/08/09/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175699/175699-1677671131.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""",GOVT. TECH. TRAINING SCHOOLKARIM,34/08/09/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/175698/175698-1677670911.pdf,false
TARABA,KARIM-LAMIDO,"KARIM ""A""","UNG. YIDI, UNG. YIDI",34/08/09/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3837/ward/25922/pu/115906/115906-1677670465.pdf,true
