state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
TARABA,KURMI,BISSAULA,GATARI DISPENSARY,34/09/06/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3838/ward/25930/pu/175768/175768-1677757662.pdf,false
TARABA,KURMI,BISSAULA,UBE PRIMARY SCHOOL BISSAULA,34/09/06/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3838/ward/25930/pu/175767/175767-1677757508.pdf,true
TARABA,KURMI,BISSAULA,BISSAULA DISPENSARY,34/09/06/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3838/ward/25930/pu/175766/175766-1677757297.pdf,false
TARABA,KURMI,BISSAULA,"SUNKURU/AGABI, BAKIN KASUWA",34/09/06/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3838/ward/25930/pu/115992/115992-1677757170.pdf,false
TARABA,KURMI,BISSAULA,"MAI SAMARI, KOFAR MAI ANGUWA",34/09/06/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3838/ward/25930/pu/115991/115991-1677756720.pdf,true
TARABA,KURMI,BISSAULA,"GATARI II, BAKIN KASUWA",34/09/06/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3838/ward/25930/pu/115990/115990-1677756501.pdf,false
TARABA,KURMI,BISSAULA,"GATARI I, GATARI PRIMARY SCHOOL",34/09/06/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3838/ward/25930/pu/115989/115989-1677756345.pdf,false
TARABA,KURMI,BISSAULA,"BISSAULA II, OPP. POLICE STATION",34/09/06/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3838/ward/25930/pu/115988/115988-1677756093.pdf,true
TARABA,KURMI,BISSAULA,"BISSAULA I, KOFAR SANDA MAIGIDA",34/09/06/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3838/ward/25930/pu/115987/115987-1677755946.pdf,false
TARABA,KURMI,BISSAULA,"AKPO, AKPO PRIMARY SCHOOL",34/09/06/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3838/ward/25930/pu/115986/115986-1677755760.pdf,true
