state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
TARABA,LAU,LAU II,"SHOMO SARKI III,SHOMO SARKI MATERNITY CLINIC",34/10/09/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3839/ward/25943/pu/175825/175825-1677662766.pdf,true
TARABA,LAU,LAU II,"KABAWA II, G DSS LAU",34/10/09/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3839/ward/25943/pu/175824/175824-1677662603.pdf,false
TARABA,LAU,LAU II,"GARIN BAKARI II,GARIN BAKARI  MATERNITY CLINIC",34/10/09/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3839/ward/25943/pu/175823/175823-1677662441.pdf,false
TARABA,LAU,LAU II,"SHOMO SARKI II, SHOMO SARKI PRIMARY SCHOOL",34/10/09/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3839/ward/25943/pu/116111/116111-1677662258.pdf,false
TARABA,LAU,LAU II,"SHOMO SARKI I, SHOMO SARKI PRIMARY SCHOOL",34/10/09/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3839/ward/25943/pu/116110/116110-1677662074.pdf,false
TARABA,LAU,LAU II,"GARIN BAKARI, G/BAKARI PRIMARY SCHOOL",34/10/09/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3839/ward/25943/pu/116106/116106-1677661324.pdf,true
TARABA,LAU,LAU II,"DOUBELI, DOUBELI PRIMARY SCHOOL",34/10/09/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3839/ward/25943/pu/116105/116105-1677660474.pdf,false
TARABA,LAU,LAU II,"BUBA BACHAMA, KOFAR BUBA BACHAMA",34/10/09/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3839/ward/25943/pu/116104/116104-1677659845.pdf,false
TARABA,LAU,LAU II,"KABAWA, KABAWA PRIMARY SCHOOL",34/10/09/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3839/ward/25943/pu/116108/116108-1677659170.pdf,true
TARABA,LAU,LAU II,"JUNGO, KOFAR TABAH",34/10/09/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3839/ward/25943/pu/116107/116107-1677658006.pdf,false
TARABA,LAU,LAU II,"RIGI SIYASA, RIGI SIYASA",34/10/09/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3839/ward/25943/pu/116109/116109-1677622036.pdf,false
