state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
YOBE,DAMATURU,KUKARETA/WARSALA,KUKARETA VIEWING CENTRE,35/03/06/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673390/result_62231_1677782185_thumb.jpg,true
YOBE,DAMATURU,KUKARETA/WARSALA,KUKARETA PRI. SCH. II,35/03/06/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3848/ward/26034/pu/176738/176738-1677495243.pdf,false
YOBE,DAMATURU,KUKARETA/WARSALA,"WARSALA,WARSALA PRI. SCH.",35/03/06/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3848/ward/26034/pu/117065/117065-1677494544.pdf,false
YOBE,DAMATURU,KUKARETA/WARSALA,"TUMUR M. TUBO,TUMUR M.TUBO",35/03/06/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/06/pu/006/006-1677426081.pdf,false
YOBE,DAMATURU,KUKARETA/WARSALA,"LADAN MUSARI , LADAN MUSARI'S GATE",35/03/06/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/06/pu/004/004-1677423878.pdf,false
YOBE,DAMATURU,KUKARETA/WARSALA,KUKARETA PRI. SCH  III,35/03/06/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/06/pu/010/010-1677423729.pdf,false
YOBE,DAMATURU,KUKARETA/WARSALA,"DABUGU,DABUGU OPEN SPACE",35/03/06/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/06/pu/001/001-1677422654.pdf,false
YOBE,DAMATURU,KUKARETA/WARSALA,GONI USMAN GATE,35/03/06/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/06/pu/005/005-1677422557.pdf,false
YOBE,DAMATURU,KUKARETA/WARSALA,"KUKARETA,PRI. SCH.",35/03/06/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/06/pu/003/003-1677421515.pdf,false
YOBE,DAMATURU,KUKARETA/WARSALA,"KUKARETA, DISPENSARY",35/03/06/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/06/pu/002/002-1677420915.pdf,false
