state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
YOBE,NGURU,MAJA-KURA,MAJA KURA PRI SCHOOL,35/13/08/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117039/result_63887_1677774649_thumb.jpg,false
YOBE,NGURU,MAJA-KURA,"HADARI,  PRI. SCH.",35/13/08/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117037/result_63885_1677763269_thumb.jpg,false
YOBE,NGURU,MAJA-KURA,"GARENE, KOFAR M.GAJI",35/13/08/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/08/pu/004/004-1677361931.pdf,false
YOBE,NGURU,MAJA-KURA,TUKA-TUKAN MELE,35/13/08/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/08/pu/009/009-1677361835.pdf,false
YOBE,NGURU,MAJA-KURA,KAKORI KOFAR MALAM KALLE,35/13/08/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/08/pu/007/007-1677361819.pdf,false
YOBE,NGURU,MAJA-KURA,"BOSSO,  PRI. SCH.",35/13/08/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/08/pu/003/003-1677361786.pdf,false
YOBE,NGURU,MAJA-KURA,BIRNIN GURU OPEN SPACE,35/13/08/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/08/pu/001/001-1677361282.pdf,false
YOBE,NGURU,MAJA-KURA,LAYIN MAI GARIN BOSO,35/13/08/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/08/pu/010/010-1677361211.pdf,false
YOBE,NGURU,MAJA-KURA,"BOSSO, KOFAR M. MOHAMMED",35/13/08/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/08/pu/002/002-1677361169.pdf,false
YOBE,NGURU,MAJA-KURA,"GARIN M. IBRAHIM, KOFAR M. IBRAHIM",35/13/08/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/08/pu/005/005-1677361003.pdf,false
YOBE,NGURU,MAJA-KURA,SABON LAYIN KANGALE FAYA,35/13/08/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/08/pu/011/011-1677360874.pdf,false
YOBE,NGURU,MAJA-KURA,MAJA-KURA PRIMARY SCHOOL,35/13/08/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/08/pu/012/012-1677360816.pdf,false
