state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
YOBE,POTISKUM,BOLEWA 'B',TELA BAMADO II,35/14/03/049,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673196/result_64075_1677772605_thumb.jpg,false
YOBE,POTISKUM,BOLEWA 'B',T-JUNCTION VI,35/14/03/048,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673195/result_64074_1677772512_thumb.jpg,false
YOBE,POTISKUM,BOLEWA 'B',T-JUNCTION V,35/14/03/047,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673194/result_64073_1677772409_thumb.jpg,false
YOBE,POTISKUM,BOLEWA 'B',T-JUNCTION IV,35/14/03/046,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673193/result_64072_1677772292_thumb.jpg,false
YOBE,POTISKUM,BOLEWA 'B',T-JUNCTION III,35/14/03/045,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673192/result_64071_1677772198_thumb.jpg,false
YOBE,POTISKUM,BOLEWA 'B',TASHAR MAI KAJI II,35/14/03/044,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673191/result_64070_1677772123_thumb.jpg,false
YOBE,POTISKUM,BOLEWA 'B',TASHAR LAMBA SABO II,35/14/03/043,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673190/result_64069_1677771922_thumb.jpg,false
YOBE,POTISKUM,BOLEWA 'B',SABON LAYI II PRIMARY SCHOOL VII,35/14/03/042,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673189/result_64068_1677771808_thumb.jpg,false
YOBE,POTISKUM,BOLEWA 'B',SABON LAYI II PRIMARY SCHOOL VI,35/14/03/041,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673188/result_64067_1677770727_thumb.jpg,false
YOBE,POTISKUM,BOLEWA 'B',SABON LAYI II PRIMARY SCHOOL V,35/14/03/040,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673187/result_64066_1677770642_thumb.jpg,false
