state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
YOBE,POTISKUM,DOGO NINI,FCE TECHNICAL  III,35/14/05/043,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673226/result_64145_1677674371_thumb.jpg,false
YOBE,POTISKUM,DOGO NINI,"YA'U TUDUN WADA, KOFAR YA'U II",35/14/05/047,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673230/result_64149_1677673351_thumb.jpg,false
YOBE,POTISKUM,DOGO NINI,"GABAR DA KASUWA, GABAR DA KASUWA",35/14/05/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117158/result_64116_1677672839_thumb.jpg,false
YOBE,POTISKUM,DOGO NINI,"ARI KIME A.A, KOFAR ABARE II",35/14/05/026,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673209/result_64128_1677672386_thumb.jpg,false
YOBE,POTISKUM,DOGO NINI,"DABO STADIUM, MATERNITY CLINIC",35/14/05/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117152/result_64110_1677672175_thumb.jpg,false
YOBE,POTISKUM,DOGO NINI,FCE TECHNICAL  II,35/14/05/042,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3859/ward/26151/pu/177453/177453-1677672145.pdf,true
YOBE,POTISKUM,DOGO NINI,"DAUDA 'B', KOFAR DAUDA VI",35/14/05/039,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673222/result_64141_1677671942_thumb.jpg,false
YOBE,POTISKUM,DOGO NINI,"YINDISKI /A/, ""KOFAR LAMBA"" IV",35/14/05/049,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
YOBE,POTISKUM,DOGO NINI,"DABO STADIUM, STADIUM GATE II",35/14/05/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117151/result_64109_1677671395_thumb.jpg,false
YOBE,POTISKUM,DOGO NINI,"DAUDA 'B',  KOFAR DAUDA",35/14/05/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117154/result_64112_1677671226_thumb.jpg,false
