state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ZAMFARA,BAKURA,BIRNIN TUDU,SHIYAR KODA BAKIN TITI,36/02/02/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673729/result_64830_1677506782_thumb.jpg,true
ZAMFARA,BAKURA,BIRNIN TUDU,GIDAN MAFARA/ADULT EDU. CLASS,36/02/02/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117612/result_64817_1677507887_thumb.jpg,true
ZAMFARA,BAKURA,BIRNIN TUDU,MALLAMAWA/VILLAGE HEAD OFFICE,36/02/02/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117617/result_64822_1677507385_thumb.jpg,true
ZAMFARA,BAKURA,BIRNIN TUDU,HILIN NA MARA,36/02/02/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673725/result_64826_1677506597_thumb.jpg,true
ZAMFARA,BAKURA,BIRNIN TUDU,YAR DALA/PRI. SCH.,36/02/02/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117614/result_64819_1677507671_thumb.jpg,true
ZAMFARA,BAKURA,BIRNIN TUDU,S/AJIYA II/VILLAGE HEAD OFFICE,36/02/02/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117620/result_64825_1677507148_thumb.jpg,true
ZAMFARA,BAKURA,BIRNIN TUDU,DANKAIWA DISPENSARY,36/02/02/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673728/result_64829_1677506882_thumb.jpg,true
ZAMFARA,BAKURA,BIRNIN TUDU,BAKIN BEDIN YAN CACA,36/02/02/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673726/result_64827_1677507057_thumb.jpg,true
ZAMFARA,BAKURA,BIRNIN TUDU,SHIYAR MADINA B/ TUDU,36/02/02/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673730/result_64831_1677506690_thumb.jpg,true
ZAMFARA,BAKURA,BIRNIN TUDU,DADA/ADULT EDU. CLASS,36/02/02/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117618/result_64823_1677506483_thumb.jpg,true
ZAMFARA,BAKURA,BIRNIN TUDU,BIRNIN TUDU PRIMARY HEALTH CARE CENTER,36/02/02/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673727/result_64828_1677506959_thumb.jpg,true
ZAMFARA,BAKURA,BIRNIN TUDU,SHIYAR ILLO/ADULT EDU. CLASS,36/02/02/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117615/result_64820_1677507599_thumb.jpg,true
ZAMFARA,BAKURA,BIRNIN TUDU,SHIYAR TUDU/PRIMARY SCHOOL,36/02/02/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117609/result_64814_1677508206_thumb.jpg,true
ZAMFARA,BAKURA,BIRNIN TUDU,S/MAGAJI/MODEL PRI. SCH.,36/02/02/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117616/result_64821_1677507463_thumb.jpg,true
ZAMFARA,BAKURA,BIRNIN TUDU,G/GAGE/RIMA OFFICE,36/02/02/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117611/result_64816_1677505621_thumb.jpg,true
ZAMFARA,BAKURA,BIRNIN TUDU,B/TUDU/ADULT EDU. CLASS,36/02/02/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/117619/result_64824_1677507257_thumb.jpg,true
ZAMFARA,BAKURA,BIRNIN TUDU,MAITAKO/ADULT EDUCATION CLASS,36/02/02/005,,false
ZAMFARA,BAKURA,BIRNIN TUDU,SHIYAR AJIYA I/ADULT EDU. CLASS,36/02/02/002,,false
