state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,KOFAR YAMMA I/ PRI.SCH,36/05/04/026,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673920/result_65464_1677596222_thumb.jpg,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,AUKI II/ PRI.SCH,36/05/04/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673916/result_65460_1677595302_thumb.jpg,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,AUKI / G/ JA'E /BAKIN GIDAN JA'E,36/05/04/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118063/result_65459_1677594879_thumb.jpg,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,MAI GIJE /  BAKIN GIDAN HAKIMI,36/05/04/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118062/result_65458_1677594435_thumb.jpg,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,RUNJI B/KWAKWARA,36/05/04/035,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673929/result_65473_1677594122_thumb.jpg,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,FURFURI I/ GOVT DAY SEC SCH,36/05/04/024,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673918/result_65462_1677594032_thumb.jpg,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,GIDAN DAN INNA D/ FILI,36/05/04/036,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673930/result_65474_1677593900_thumb.jpg,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,AWALA PRI.SCH,36/05/04/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673917/result_65461_1677593661_thumb.jpg,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,GARKA B/MASALLACI,36/05/04/029,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673923/result_65467_1677593387_thumb.jpg,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,KOFAR YAMMA II/ PRI.SCH,36/05/04/027,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673921/result_65465_1677592625_thumb.jpg,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,KOFAR YAMMA III/ PRI.SCH,36/05/04/028,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673922/result_65466_1677593122_thumb.jpg,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,FURFURI DISPENSARY,36/05/04/030,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/177875/177875-1677502796.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,R/Y/M/TSAUNI H/GADA,36/05/04/034,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/177879/177879-1677502699.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,AWALA PRI.SCH,36/05/04/032,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/177877/177877-1677502574.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,GIDAN DAWA PRI.SCH,36/05/04/031,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/177876/177876-1677502498.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,MADIDIN TUDU PRI.SCH,36/05/04/033,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/177878/177878-1677502375.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,KUGA   /   BAKIN GIDAN HAKIMI,36/05/04/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119161/119161-1677501355.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,KUKAR MADA    /   BAKIN GIDAN HAKIMI,36/05/04/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119160/119160-1677501233.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,GIDAN GAGGA   /  BAKIN GIDAN HAKIMI,36/05/04/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119159/119159-1677500990.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,GWAJI / B / G / HAKIMI,36/05/04/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119158/119158-1677500877.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,ZAMAN GIRA    /  BAKIN GIDAN HAKIMI,36/05/04/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119157/119157-1677500754.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,FANTARU   /   PRI. SCH.,36/05/04/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119156/119156-1677500652.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,KUKAR NINI   /  BAKIN GIDAN HAKIMI,36/05/04/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119155/119155-1677500527.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,KWAI-KWAI   /  BAKIN GIDANHAKIMI,36/05/04/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119154/119154-1677500399.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,AUKI / PRI. SCH.,36/05/04/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119153/119153-1677500273.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,MADIDI/ BAKIN GIDAN HAKIMI,36/05/04/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119152/119152-1677500132.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,SHIRGI / BAKIN GIDAN HAKIMI,36/05/04/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119151/119151-1677500037.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,GUGA / BAKIN GIDAN HAKIMI,36/05/04/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119150/119150-1677499896.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,RUNJI II / BAKIN GIDAN NA RUNJI,36/05/04/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119149/119149-1677499699.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,RUNJI I / BAKIN GIDAN MAI UNGUWA,36/05/04/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119148/119148-1677499573.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,KWARE II /  MAGAMA,36/05/04/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119147/119147-1677499376.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,KWARE I / DAN HILI,36/05/04/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119146/119146-1677499253.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,GALADANCI /BAKIN OFISHIN MAIGARI,36/05/04/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119145/119145-1677499006.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,SABON BIRNIN II /  DAN HILI,36/05/04/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119144/119144-1677498528.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,SABON BIRNIN I /  PRI. SCHOOL,36/05/04/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3867/ward/26230/pu/119143/119143-1677497806.pdf,false
ZAMFARA,BUNGUDU,FURFURI/KWAI-KWAI,FURFURI II/ G.D.S.S,36/05/04/025,,false
