state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ZAMFARA,GUMMI,BARDOKI,DADU / BAKIN KASUWA,36/06/01/020,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
ZAMFARA,GUMMI,BARDOKI,BARIKIN DAJI / MAKARANTA,36/06/01/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118217/result_65685_1677685896_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,TAGADI / KASUWA,36/06/01/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
ZAMFARA,GUMMI,BARDOKI,GUTSURA / MAKARANTA,36/06/01/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118213/result_65681_1677685659_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,GWALLI M.  /  PRIMARY SCHOOL,36/06/01/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118203/result_65671_1677685513_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,YAR GUSAU / KAN WURI,36/06/01/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118204/result_65672_1677685430_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,KIBLI GARI / KIBLI KAN WURI,36/06/01/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118205/result_65673_1677685347_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,TULMI  I / PRIMARY SCHOOL,36/06/01/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118208/result_65676_1677685245_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,TULMI II / KAN WURI,36/06/01/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118209/result_65677_1677685093_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,TULMI III / PRI SCH,36/06/01/022,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673989/result_65692_1677684994_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,BARDOKI /SEC. SCH,36/06/01/023,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673990/result_65693_1677684911_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,PASS II / ZAWIYYA,36/06/01/025,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673992/result_65695_1677684736_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,GWALLI II / PRI SCH,36/06/01/024,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673991/result_65694_1677684646_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,TAGADI II /MAKARANTA,36/06/01/021,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/673988/result_65691_1677684370_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,LANKE KIBLI   /  MAKARANTA,36/06/01/018,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118220/result_65688_1677684104_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,BARDOKI   /  KAN TUDU,36/06/01/017,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com,false
ZAMFARA,GUMMI,BARDOKI,SAHON KIBLI / SH-LIMAN,36/06/01/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118218/result_65686_1677683802_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,BARDOKI / KAN WURI,36/06/01/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118215/result_65683_1677683455_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,S/TUDU / KAN WURI,36/06/01/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118214/result_65682_1677682958_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,GALKO / MAKARANTA,36/06/01/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118212/result_65680_1677682771_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,BARDOKI / PRIMARY SCHOOL,36/06/01/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118211/result_65679_1677682661_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,PASS / ZAWIIYYA,36/06/01/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118210/result_65678_1677682574_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,AWALA/MAKARANTA,36/06/01/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118206/result_65674_1677681573_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,BABBAN RAFI  / HANYA GULBI,36/06/01/019,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118221/result_65689_1677678441_thumb.jpg,false
ZAMFARA,GUMMI,BARDOKI,KARAJE / MAKARANTA,36/06/01/005,,false
