state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ZAMFARA,MARADUN,DAMAGA / DAMAGIWA,SHIYAR YAMA / GAMA GIWA PRIMARY SCHOOL,36/09/02/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118938/result_66743_1677496280_thumb.jpg,true
ZAMFARA,MARADUN,DAMAGA / DAMAGIWA,ZAMAN GIRA / FILIN ZAMAN GIRA,36/09/02/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118939/result_66744_1677495498_thumb.jpg,true
ZAMFARA,MARADUN,DAMAGA / DAMAGIWA,KARIMAWA / SHIYAR SARKI ASK,36/09/02/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118935/result_66740_1677494178_thumb.jpg,true
ZAMFARA,MARADUN,DAMAGA / DAMAGIWA,SH/RAFI GALADIMA II/GAMA GIWA,36/09/02/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/674325/result_66748_1677493569_thumb.jpg,true
ZAMFARA,MARADUN,DAMAGA / DAMAGIWA,ZAMAN GIRA II/FILIN ZAMAN GIRA,36/09/02/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/674327/result_66750_1677494901_thumb.jpg,true
ZAMFARA,MARADUN,DAMAGA / DAMAGIWA,GWABRO II /  GWABRO PRIMARY SCHOOL,36/09/02/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118941/result_66746_1677502604_thumb.jpg,false
ZAMFARA,MARADUN,DAMAGA / DAMAGIWA,SHIYAR DANYAKI / GIDAN DAN YAKI,36/09/02/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118934/result_66739_1677502435_thumb.jpg,false
ZAMFARA,MARADUN,DAMAGA / DAMAGIWA,SHIYAR RAFI GALADIMA / GAMA GIWA,36/09/02/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118937/result_66742_1677493330_thumb.jpg,true
ZAMFARA,MARADUN,DAMAGA / DAMAGIWA,SHIYAR TSARA / DAMAGA GARI,36/09/02/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118933/result_66738_1677492890_thumb.jpg,true
ZAMFARA,MARADUN,DAMAGA / DAMAGIWA,GWABRO I/ PRIMARY SCHOOL AREA,36/09/02/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/118936/result_66741_1677493057_thumb.jpg,true
ZAMFARA,MARADUN,DAMAGA / DAMAGIWA,SHIYAR YAMA II/GAMA GIWA,36/09/02/012,,false
ZAMFARA,MARADUN,DAMAGA / DAMAGIWA,KYANSALI / DANFILI,36/09/02/010,,false
ZAMFARA,MARADUN,DAMAGA / DAMAGIWA,KUDDU  /  DAN FILI KUDDU,36/09/02/008,,false
