state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ZAMFARA,SHINKAFI,BIRNIN YARO,INWALA  / INWALA GARKA,36/11/02/004,,false
ZAMFARA,SHINKAFI,BIRNIN YARO,MAIWA   /  PRIMARY SCHOOL,36/11/02/009,,false
ZAMFARA,SHINKAFI,BIRNIN YARO,BAKIN KASUWA,36/11/02/014,,false
ZAMFARA,SHINKAFI,BIRNIN YARO,BIRNIN YARO III / SHIYAR MARAFA BIRNIN YARO,36/11/02/003,,false
ZAMFARA,SHINKAFI,BIRNIN YARO,ZAMAN GIRA / PRIMARY SCHOOL,36/11/02/008,,false
ZAMFARA,SHINKAFI,BIRNIN YARO,SHIYAR MARAFA II,36/11/02/013,,false
ZAMFARA,SHINKAFI,BIRNIN YARO,BIRNIN YARO  II/SHIYAR JEKADA,36/11/02/002,,false
ZAMFARA,SHINKAFI,BIRNIN YARO,TUBALI BAICE  II / BAICE DAN FILI,36/11/02/007,,false
ZAMFARA,SHINKAFI,BIRNIN YARO,SHIYAR JEKADA,36/11/02/012,,false
ZAMFARA,SHINKAFI,BIRNIN YARO,BIRNIN YARO  I / PRIMARY SCHOOL,36/11/02/001,,false
ZAMFARA,SHINKAFI,BIRNIN YARO,TUBALI BAICE  I / BAICE GARKA,36/11/02/006,,false
ZAMFARA,SHINKAFI,BIRNIN YARO,BIRNIN YERO  IV PRI. SCH,36/11/02/011,,false
ZAMFARA,SHINKAFI,BIRNIN YARO,TUBALI I   /  PRI. SCH.,36/11/02/005,,false
ZAMFARA,SHINKAFI,BIRNIN YARO,TUBALI II / PRIMARY SCHOOL,36/11/02/010,,false
