state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ZAMFARA,ZURMI,KANWA,KWABRE/NAHYACE / DOGON MARKE,36/14/05/006,https://docs.inecelectionresults.net/elections/1292/1677449898-120965.pdf,false
ZAMFARA,ZURMI,KANWA,KADAWA / YAR YARA,36/14/05/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/010/010-1677428424.pdf,false
ZAMFARA,ZURMI,KANWA,GABAN DUTSI/BAKIN KASUWA,36/14/05/021,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/021/021-1677426875.pdf,false
ZAMFARA,ZURMI,KANWA,TAKALMAWA / PRIMARY SCHOOL,36/14/05/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/009/009-1677426133.pdf,false
ZAMFARA,ZURMI,KANWA,KAIWA LAMBA / PRIMARY SCHOOL,36/14/05/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/004/004-1677424520.pdf,false
ZAMFARA,ZURMI,KANWA,GIDAN JODI / YAR TASHA,36/14/05/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/003/003-1677423694.pdf,false
ZAMFARA,ZURMI,KANWA,FAKAI/BAKIN KASUWA,36/14/05/019,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/019/019-1677422793.pdf,false
ZAMFARA,ZURMI,KANWA,GAMAWA/G. DUSTI / GARKAR LIMAN,36/14/05/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/007/007-1677421114.pdf,false
ZAMFARA,ZURMI,KANWA,TATAKA / BAKIN KASUWA,36/14/05/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/011/011-1677420636.pdf,false
ZAMFARA,ZURMI,KANWA,KUFAN MALAN / GUZAWA,36/14/05/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/015/015-1677419650.pdf,false
ZAMFARA,ZURMI,KANWA,JINKIRAWA TSARA /  GARKAR TSAWA,36/14/05/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/014/014-1677419327.pdf,false
ZAMFARA,ZURMI,KANWA,GANDA SAMU / TUDUN BABI,36/14/05/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/012/012-1677417253.pdf,false
ZAMFARA,ZURMI,KANWA,MAGARYA   II / TOWN PRIMARY SCHOOL,36/14/05/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/017/017-1677416401.pdf,false
ZAMFARA,ZURMI,KANWA,JINKIRAWA MAGAJI  / GARKAR MAGAJI,36/14/05/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/018/018-1677415121.pdf,false
ZAMFARA,ZURMI,KANWA,JABANDA/FAKAI / M.P.S. JABANDA,36/14/05/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/005/005-1677414816.pdf,false
ZAMFARA,ZURMI,KANWA,KANWA GABBAS  /  M.P.S. KANWA,36/14/05/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/001/001-1677413993.pdf,false
ZAMFARA,ZURMI,KANWA,GIDAN ZAGI / BAKIN KASUWA,36/14/05/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/008/008-1677413390.pdf,false
ZAMFARA,ZURMI,KANWA,NASAMU / TSAKAR GARI,36/14/05/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/013/013-1677412683.pdf,false
ZAMFARA,ZURMI,KANWA,KANWAN YAMMA II/MPS KANWA,36/14/05/020,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/14/ward/05/pu/020/020-1677410505.pdf,false
ZAMFARA,ZURMI,KANWA,KANWA YAMMA - DAN FILI,36/14/05/002,,false
ZAMFARA,ZURMI,KANWA,MAGARYA   I / KWANA SARAKI,36/14/05/016,,false
