state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ANAMBRA,AYAMELUM,OMOR I,AMA  UMUOGBU II,04/02/06/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/06/pu/006/006-1677416719.pdf,false
ANAMBRA,AYAMELUM,OMOR I,AMA AMIKWETITI II,04/02/06/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/06/pu/016/016-1677401944.pdf,false
ANAMBRA,AYAMELUM,OMOR I,AMA ERONYIA I,04/02/06/019,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/06/pu/019/019-1677395819.pdf,false
ANAMBRA,AYAMELUM,OMOR I,AMA UMUOGBU I,04/02/06/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/06/pu/005/005-1677394105.pdf,false
ANAMBRA,AYAMELUM,OMOR I,AMA  UMUOGBU III,04/02/06/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/06/pu/007/007-1677393732.pdf,false
ANAMBRA,AYAMELUM,OMOR I,AMA ERONYIA IV,04/02/06/022,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/06/pu/022/022-1677388137.pdf,false
ANAMBRA,AYAMELUM,OMOR I,AMA AMIKWETITI IV,04/02/06/018,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/06/pu/018/018-1677385650.pdf,false
ANAMBRA,AYAMELUM,OMOR I,UMUZU VILLAGE HALL II,04/02/06/026,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/06/pu/026/026-1677384145.pdf,false
ANAMBRA,AYAMELUM,OMOR I,AMA AMIKWETITI III,04/02/06/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/06/pu/017/017-1677381382.pdf,false
ANAMBRA,AYAMELUM,OMOR I,AMA AKARA I,04/02/06/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/06/pu/011/011-1677381046.pdf,false
ANAMBRA,AYAMELUM,OMOR I,AMA ISIOKWE II,04/02/06/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/02/ward/06/pu/002/002-1677376230.pdf,false
ANAMBRA,AYAMELUM,OMOR I,AMA ISIOKWE I,04/02/06/001,,false
ANAMBRA,AYAMELUM,OMOR I,AMA ISIOKWE III,04/02/06/003,,false
ANAMBRA,AYAMELUM,OMOR I,AMA ERONYIA III,04/02/06/021,,false
ANAMBRA,AYAMELUM,OMOR I,AMA UMUOGBU IV,04/02/06/008,,false
ANAMBRA,AYAMELUM,OMOR I,AMA AKARA III,04/02/06/013,,false
ANAMBRA,AYAMELUM,OMOR I,ORENJA PRY. SCHOOL,04/02/06/023,,false
ANAMBRA,AYAMELUM,OMOR I,AMA ISIOKWE IV,04/02/06/004,,false
ANAMBRA,AYAMELUM,OMOR I,AMA UMUOKPANTA I,04/02/06/009,,false
ANAMBRA,AYAMELUM,OMOR I,AMA AKARA IV,04/02/06/014,,false
ANAMBRA,AYAMELUM,OMOR I,AMA UMUOKPANTA II,04/02/06/010,,false
ANAMBRA,AYAMELUM,OMOR I,AMIKWE PRIMARY SCHOOL,04/02/06/024,,false
ANAMBRA,AYAMELUM,OMOR I,AMA AMIKWETITI I,04/02/06/015,,false
ANAMBRA,AYAMELUM,OMOR I,AMA ERONYIA II,04/02/06/020,,false
ANAMBRA,AYAMELUM,OMOR I,UMUZU VILLAGE HALL I,04/02/06/025,,false
ANAMBRA,AYAMELUM,OMOR I,AMA AKARA II,04/02/06/012,,false
