state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,NGENE EJO,04/03/03/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18298/pu/8769/8769-1677607976.pdf,false
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,IWUNOR SQUARE II,04/03/03/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18298/pu/8773/8773-1677607853.pdf,true
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,MKPUNANDO,04/03/03/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18298/pu/8767/8767-1677607695.pdf,false
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,ENUGU NDIDA,04/03/03/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18298/pu/8760/8760-1677607424.pdf,false
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,PONTOON,04/03/03/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18298/pu/8768/8768-1677607304.pdf,true
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,OKPAIYIRI I,04/03/03/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18298/pu/8770/8770-1677607147.pdf,true
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,CENTRAL SCHOOL II,04/03/03/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18298/pu/121426/121426-1677606882.pdf,true
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,IWUNOR SQUARE I,04/03/03/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18298/pu/8772/8772-1677594096.pdf,false
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,OKPAIYIRI II,04/03/03/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18298/pu/8771/8771-1677529583.pdf,false
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,IFITE ENU,04/03/03/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18298/pu/8766/8766-1677528555.pdf,false
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,UMUAGAMA SQUARE,04/03/03/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18298/pu/8774/8774-1677527798.pdf,false
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,UMUAWUNU SQUARE,04/03/03/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18298/pu/8775/8775-1677527251.pdf,false
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,MODEL PRY. HEALTH CENTRE  MKPUNANDO,04/03/03/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18298/pu/121427/121427-1677526700.pdf,false
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,AMA-IGBOEZUNU,04/03/03/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/03/pu/006/006-1677380950.pdf,false
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,AMA-OKPOGBA,04/03/03/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/03/pu/004/004-1677380542.pdf,false
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,AMA-ENUGU I,04/03/03/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/03/pu/002/002-1677380310.pdf,false
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,AMA-ISIKWE,04/03/03/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/03/pu/005/005-1677379584.pdf,false
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,AMA-ENUGU II,04/03/03/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/03/pu/003/003-1677377986.pdf,false
