state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ANAMBRA,ANAMBRA EAST,NANDO  II,IFITE PRY. SCHOOL II,04/03/07/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18302/pu/8828/8828-1677613093.pdf,false
ANAMBRA,ANAMBRA EAST,NANDO  II,IFITE PRY. SCHOOL I,04/03/07/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18302/pu/8827/8827-1677612656.pdf,false
ANAMBRA,ANAMBRA EAST,NANDO  II,IFITE MARKET SQUARE II,04/03/07/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18302/pu/8826/8826-1677612145.pdf,false
ANAMBRA,ANAMBRA EAST,NANDO  II,IFITE MARKET SQUARE I,04/03/07/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18302/pu/8825/8825-1677609534.pdf,false
ANAMBRA,ANAMBRA EAST,NANDO  II,AMABEGWU SQUARE II,04/03/07/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18302/pu/8824/8824-1677609059.pdf,false
ANAMBRA,ANAMBRA EAST,NANDO  II,AMABEGWU SQUARE I,04/03/07/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18302/pu/8823/8823-1677608603.pdf,true
ANAMBRA,ANAMBRA EAST,NANDO  II,AMAIBETO SQUARE II,04/03/07/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18302/pu/8822/8822-1677608086.pdf,false
ANAMBRA,ANAMBRA EAST,NANDO  II,AMAIBETO SQUARE I,04/03/07/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18302/pu/8821/8821-1677607645.pdf,false
ANAMBRA,ANAMBRA EAST,NANDO  II,AMAOWELEOKA PUB. SQUARE II,04/03/07/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18302/pu/8820/8820-1677607013.pdf,true
ANAMBRA,ANAMBRA EAST,NANDO  II,AMAOWELEOKA PUB. SQUARE I,04/03/07/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18302/pu/8819/8819-1677603532.pdf,false
ANAMBRA,ANAMBRA EAST,NANDO  II,AMUKO PUB. SQUARE II,04/03/07/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18302/pu/8818/8818-1677603144.pdf,true
ANAMBRA,ANAMBRA EAST,NANDO  II,AMUKO PUB. SQUARE I,04/03/07/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18302/pu/8817/8817-1677602670.pdf,false
ANAMBRA,ANAMBRA EAST,NANDO  II,ENUGU-AGU PUB. SQUARE,04/03/07/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3174/ward/18302/pu/8816/8816-1677598992.pdf,true
