state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ANAMBRA,AWKA SOUTH,MBA-UKWU,CENTRAL SCHOOL III MBAUKWU,04/07/13/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18366/pu/121596/121596-1677471956.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,AKABOR VILLAGE HALL III,04/07/13/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18366/pu/9712/9712-1677471269.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,AKABOR VILLAGE HALL I,04/07/13/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18366/pu/9710/9710-1677470897.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,CENTRAL; SCHOOL II,04/07/13/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18366/pu/9709/9709-1677470605.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,EZI EDWARD SQUARE II,04/07/13/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18366/pu/9703/9703-1677470313.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,ONUNU PRY. SCHOOL I,04/07/13/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18366/pu/9700/9700-1677470075.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,AFOR MARKET SQUARE I,04/07/13/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18366/pu/9697/9697-1677468915.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,AKABOR VILLAGE HALL II,04/07/13/019,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/13/pu/019/019-1677420795.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,EZI EDWARD SQUARE IV,04/07/13/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/13/pu/013/013-1677417355.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,AFOR MARKET SQUARE II,04/07/13/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/13/pu/006/006-1677416589.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,AFOR MARKET SQUARE III,04/07/13/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/13/pu/007/007-1677416068.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,"COUNCIL SCHOOL, URU I",04/07/13/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/13/pu/014/014-1677415047.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,NKWO MARKET SQUARE II,04/07/13/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/13/pu/002/002-1677414229.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,CENTRAL SCHOOL I,04/07/13/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/13/pu/016/016-1677413906.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,EZI EDWARD SQUARE I,04/07/13/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/13/pu/010/010-1677411921.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,NKWO MARKET SQUARE IV,04/07/13/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/13/pu/004/004-1677411565.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,NKWO MARKET SQUARE III,04/07/13/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/13/pu/003/003-1677410903.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,ONUNU PRY. SCHOOL II,04/07/13/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/13/pu/009/009-1677410464.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,NKWO MARKET SQUARE I,04/07/13/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/13/pu/001/001-1677409744.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,"COUNCIL SCHOOL, URU II",04/07/13/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/13/pu/015/015-1677408204.pdf,false
ANAMBRA,AWKA SOUTH,MBA-UKWU,EZI EDWARD SQAURE III,04/07/13/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/13/pu/012/012-1677399415.pdf,false
