state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ANAMBRA,AWKA SOUTH,NIBO  I,EZIKE HIGH SCHOOL II,04/07/14/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/14/pu/014/014-1677405868.pdf,false
ANAMBRA,AWKA SOUTH,NIBO  I,EKE NIBO SQUARE,04/07/14/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/14/pu/002/002-1677404632.pdf,false
ANAMBRA,AWKA SOUTH,NIBO  I,EKE NIBO MARKET SQUARE I,04/07/14/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/14/pu/001/001-1677404081.pdf,false
ANAMBRA,AWKA SOUTH,NIBO  I,EZIKE PRY. SCHOOL I,04/07/14/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/14/pu/009/009-1677403756.pdf,false
ANAMBRA,AWKA SOUTH,NIBO  I,EZI NWANKWO PRY. SCHOOL III,04/07/14/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/14/pu/008/008-1677403724.pdf,false
ANAMBRA,AWKA SOUTH,NIBO  I,EZIKE HIGH SCHOOL III,04/07/14/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/14/pu/015/015-1677403684.pdf,false
ANAMBRA,AWKA SOUTH,NIBO  I,EZI NWANKWO PRY. SCHOOL II,04/07/14/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/14/pu/007/007-1677403712.pdf,false
ANAMBRA,AWKA SOUTH,NIBO  I,EZIKE PRY. SCHOOL II,04/07/14/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/14/pu/010/010-1677403161.pdf,false
ANAMBRA,AWKA SOUTH,NIBO  I,UMUNNAKWE HALL II,04/07/14/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/14/pu/005/005-1677403059.pdf,false
ANAMBRA,AWKA SOUTH,NIBO  I,UMUNNAKWE HALL I,04/07/14/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/14/pu/004/004-1677402935.pdf,false
ANAMBRA,AWKA SOUTH,NIBO  I,UMUKA HALL II,04/07/14/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/14/pu/012/012-1677402747.pdf,false
ANAMBRA,AWKA SOUTH,NIBO  I,EKE NIBO MARKET SQUARE II,04/07/14/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/14/pu/003/003-1677402563.pdf,false
ANAMBRA,AWKA SOUTH,NIBO  I,UMUKA HALL I,04/07/14/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/14/pu/011/011-1677402492.pdf,false
ANAMBRA,AWKA SOUTH,NIBO  I,EZI NWANKWO PRY. SCHOOL I,04/07/14/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/14/pu/006/006-1677402012.pdf,false
ANAMBRA,AWKA SOUTH,NIBO  I,EZIKE HIGH SCHOOL I,04/07/14/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/14/pu/013/013-1677400324.pdf,false
