state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ANAMBRA,AWKA SOUTH,OKPUNO,EBE IRU OFFIA SQUARE II,04/07/19/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/9771/9771-1677666941.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,EBE IRU OFFIA SQUARE IV (OPEN SPACE AT ORIMIRI JUNCTION),04/07/19/014,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121606/121606-1677666228.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,OKOCHI VILLAGE HALL II,04/07/19/030,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121622/121622-1677665696.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,NIGERIA UNION OF JOURNALISTS PREMISES (OPEN SPACE AT NUJ PREMISES),04/07/19/029,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121621/121621-1677664830.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,NODU VILLAGE HALL VII (OPEN SPACE OPPOSITE NODU VILLAGE HALL),04/07/19/028,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121620/121620-1677664098.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,NODU VILLAGE HALL VI (OPEN SPACE OPPOSITE NODU VILLAGE HALL),04/07/19/027,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121619/121619-1677663676.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,TIPPER GARAGE (OPEN SPACE AT TIPPER GARAGE JUNCTION),04/07/19/026,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121618/121618-1677663336.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,NODU VILLAGE HALL V (OPEN SPACE OPPOSITE NODU VILLAGE HALL),04/07/19/025,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121617/121617-1677662985.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,NODU VILLAGE HALL IV (OPEN SPACE OPPOSITE NODU VILLAGE HALL),04/07/19/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121616/121616-1677662671.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,NODU VILLAGE HALL III (OPEN SPACE OPPOSITE NODU VILLAGE HALL),04/07/19/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121615/121615-1677662271.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,COMMUNITY SECONDARY SCHOOL OKPUNO II,04/07/19/022,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121614/121614-1677661832.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,COMMUNITY SECONDARY SCHOOL OKPUNO I,04/07/19/021,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121613/121613-1677661407.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,COMMUNITY PRIMARY SCHOOL EZINIFITE OKPUNO,04/07/19/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121612/121612-1677660855.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,EZINIFITE VILLAGE HALL III,04/07/19/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121611/121611-1677660429.pdf,true
ANAMBRA,AWKA SOUTH,OKPUNO,EZINIFITE VILLAGE HALL II,04/07/19/018,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121610/121610-1677659833.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,EBE IRU OBUROZO (OPEN SPACE AT UMUODU VILLAGE),04/07/19/017,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121609/121609-1677659190.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,"EZI EBE UMUODU II (OPEN SPACE BESIDE ST. PHILIP ANGLICAN CHURCH, UMUODU)",04/07/19/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121608/121608-1677658740.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,EZI EBE OKOCHI SQUARE II (OPEN SPACE BESIDE OKOCHI MARKET),04/07/19/015,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121607/121607-1677658147.pdf,true
ANAMBRA,AWKA SOUTH,OKPUNO,EBE IRU OFFIA SQUARE III (OPEN SPACE AT ORIMIRI JUNCTION),04/07/19/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121605/121605-1677628923.pdf,true
ANAMBRA,AWKA SOUTH,OKPUNO,AFOR OKPUNO II,04/07/19/012,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/121604/121604-1677628438.pdf,true
ANAMBRA,AWKA SOUTH,OKPUNO,OKOCHI VILLAGE HALL,04/07/19/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/9779/9779-1677628078.pdf,true
ANAMBRA,AWKA SOUTH,OKPUNO,NODU VILLAGE HALL II,04/07/19/010,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/9778/9778-1677627297.pdf,true
ANAMBRA,AWKA SOUTH,OKPUNO,NODU VILLAGE HALL I,04/07/19/009,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/9777/9777-1677626680.pdf,true
ANAMBRA,AWKA SOUTH,OKPUNO,EZINIFITE VILLAGE HALL,04/07/19/008,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/9776/9776-1677626114.pdf,true
ANAMBRA,AWKA SOUTH,OKPUNO,EZI EBE UMODU,04/07/19/007,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/9775/9775-1677625617.pdf,true
ANAMBRA,AWKA SOUTH,OKPUNO,EZI EBE NODU,04/07/19/006,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/9774/9774-1677600518.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,EZI EBE OKOCHI SQUARE,04/07/19/005,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/9773/9773-1677598955.pdf,false
ANAMBRA,AWKA SOUTH,OKPUNO,EBE IRUNONO SQUARE III,04/07/19/004,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/9772/9772-1677597898.pdf,true
ANAMBRA,AWKA SOUTH,OKPUNO,EBE IRU OFFIA SQUARE I,04/07/19/002,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/9770/9770-1677593207.pdf,true
ANAMBRA,AWKA SOUTH,OKPUNO,AFOR OKPUNO,04/07/19/001,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/9769/9769-1677590833.pdf,false
