state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ANAMBRA,IDEMILI-SOUTH,NNOBI I,IFITE HALL,04/11/06/016,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622858/result_167440_1677748178_thumb.jpg,false
ANAMBRA,IDEMILI-SOUTH,NNOBI I,UMUISHIN HALL,04/11/06/015,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622857/result_167439_1677747703_thumb.jpg,false
ANAMBRA,IDEMILI-SOUTH,NNOBI I,UMUONA CIVIC CENTRE,04/11/06/014,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622856/result_167438_1677746794_thumb.jpg,false
ANAMBRA,IDEMILI-SOUTH,NNOBI I,UMUEZEANOCHIE HALL,04/11/06/013,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622855/result_167437_1677744364_thumb.jpg,false
ANAMBRA,IDEMILI-SOUTH,NNOBI I,UMURU CIVIC CENTRE II,04/11/06/012,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622854/result_167436_1677744156_thumb.jpg,false
ANAMBRA,IDEMILI-SOUTH,NNOBI I,UMURU CIVIC CENTRE I,04/11/06/011,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622853/result_167435_1677743969_thumb.jpg,false
ANAMBRA,IDEMILI-SOUTH,NNOBI I,EZIORAH PRY. SCHOOL,04/11/06/010,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/10479/result_167434_1677681875_thumb.jpg,false
ANAMBRA,IDEMILI-SOUTH,NNOBI I,OBI MEMORIAL PRY. SCHOOL,04/11/06/009,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/10478/result_167433_1677680933_thumb.jpg,false
ANAMBRA,IDEMILI-SOUTH,NNOBI I,EBENESI PRY. SCHOOL,04/11/06/008,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/10477/result_167432_1677680578_thumb.jpg,false
ANAMBRA,IDEMILI-SOUTH,NNOBI I,AMADUNU HALL,04/11/06/007,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/10476/result_167431_1677679842_thumb.jpg,false
ANAMBRA,IDEMILI-SOUTH,NNOBI I,AGWU-UBAHA HALL,04/11/06/005,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/10474/result_167429_1677679355_thumb.jpg,false
ANAMBRA,IDEMILI-SOUTH,NNOBI I,UMUAFOR VILLAGE HALL II,04/11/06/004,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/10473/result_167428_1677678797_thumb.jpg,false
ANAMBRA,IDEMILI-SOUTH,NNOBI I,UMUAFOR VILLAGE HALL I,04/11/06/003,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/10472/result_167427_1677678365_thumb.jpg,false
ANAMBRA,IDEMILI-SOUTH,NNOBI I,COMMUNITY CENTRAL SCHOOL II,04/11/06/002,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/10471/result_167426_1677677938_thumb.jpg,false
ANAMBRA,IDEMILI-SOUTH,NNOBI I,COMMUNITY CENTRAL SCHOOL I,04/11/06/001,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/10470/result_167425_1677677280_thumb.jpg,false
ANAMBRA,IDEMILI-SOUTH,NNOBI I,AMADUNU SQUARE,04/11/06/006,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/10475/result_167430_1677674091_thumb.jpg,false
