state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ANAMBRA,NJIKOKA,ENUGWU UKWU  II,EKWO CIVIC CENTRE II,04/13/10/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/10/pu/002/002-1677399850.pdf,false
ANAMBRA,NJIKOKA,ENUGWU UKWU  II,URUEKWO P/S II,04/13/10/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/10/pu/004/004-1677399070.pdf,false
ANAMBRA,NJIKOKA,ENUGWU UKWU  II,URUEKWO HALL,04/13/10/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/10/pu/010/010-1677404011.pdf,false
ANAMBRA,NJIKOKA,ENUGWU UKWU  II,OBEAGU URUEKWO HALL,04/13/10/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/10/pu/009/009-1677403350.pdf,false
ANAMBRA,NJIKOKA,ENUGWU UKWU  II,UMUOJI VILLAGE SQUARE,04/13/10/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/10/pu/011/011-1677403304.pdf,false
ANAMBRA,NJIKOKA,ENUGWU UKWU  II,ADAGBE ABOMINI P/S I,04/13/10/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/10/pu/005/005-1677402622.pdf,false
ANAMBRA,NJIKOKA,ENUGWU UKWU  II,ADAGBE ABOMINI P/S II,04/13/10/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/10/pu/006/006-1677402071.pdf,false
ANAMBRA,NJIKOKA,ENUGWU UKWU  II,EDUPUTA HALL,04/13/10/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/10/pu/008/008-1677400297.pdf,false
ANAMBRA,NJIKOKA,ENUGWU UKWU  II,URUEKWO P/S I,04/13/10/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/10/pu/003/003-1677399745.pdf,false
ANAMBRA,NJIKOKA,ENUGWU UKWU  II,UMUEGWELUKA HALL,04/13/10/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/10/pu/014/014-1677398846.pdf,false
ANAMBRA,NJIKOKA,ENUGWU UKWU  II,EZI EZENTA HALL,04/13/10/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/10/pu/007/007-1677398223.pdf,false
ANAMBRA,NJIKOKA,ENUGWU UKWU  II,EBE-NGENE URU-EKWO SQAURE,04/13/10/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/10/pu/013/013-1677396007.pdf,false
ANAMBRA,NJIKOKA,ENUGWU UKWU  II,EBE-UKWA,04/13/10/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/10/pu/012/012-1677395750.pdf,false
ANAMBRA,NJIKOKA,ENUGWU UKWU  II,EKWO CIVIC CENTRE I,04/13/10/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/13/ward/10/pu/001/001-1677390112.pdf,false
