state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ANAMBRA,NNEWI SOUTH,UKPOR V,AMAKOM CENTRAL SCHOOL I,04/15/17/001,,false
ANAMBRA,NNEWI SOUTH,UKPOR V,AGBUANI HALL II,04/15/17/006,,false
ANAMBRA,NNEWI SOUTH,UKPOR V,OSIGBU HALL II,04/15/17/004,,false
ANAMBRA,NNEWI SOUTH,UKPOR V,NZAGHA VILLAGE HALL I,04/15/17/009,,false
ANAMBRA,NNEWI SOUTH,UKPOR V,AMAKOM CENTRAL SCHOOL II,04/15/17/002,,false
ANAMBRA,NNEWI SOUTH,UKPOR V,OKPARA UKWU I,04/15/17/007,,false
ANAMBRA,NNEWI SOUTH,UKPOR V,AGBUANI HALL I,04/15/17/005,,false
ANAMBRA,NNEWI SOUTH,UKPOR V,NZAGHA VILLAGE HALL II,04/15/17/010,,false
ANAMBRA,NNEWI SOUTH,UKPOR V,OSIGBU HALL I,04/15/17/003,,false
ANAMBRA,NNEWI SOUTH,UKPOR V,OKPARA UKWU II,04/15/17/008,,false
