state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,COMMUNITY SECONDARY SCHOOL ODEKPE II,04/16/05/030,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/122098/122098-1677778884.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,CPS IYIOWA III,04/16/05/028,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/122096/122096-1677696839.pdf,true
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,CPS IYIOWA II,04/16/05/027,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/122095/122095-1677696026.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,OGBUKWU VILLAGE SQUARE III,04/16/05/039,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/122107/122107-1677695529.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,CENTRAL SCHOOL ODEKPE IV,04/16/05/020,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/122088/122088-1677695308.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,UMUASIBELE,04/16/05/003,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/11636/11636-1677695095.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,COMMUNITY SECONDARY SCHOOL ODEKPE I,04/16/05/029,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/122097/122097-1677694721.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,"OPEN SPACE BY DEEPER LIFE JUNCTION,ACHA STREET, IYIOWA.",04/16/05/036,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/122104/122104-1677694436.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,"PRIMARY HEALTH CENTER, OHITA",04/16/05/037,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/122105/122105-1677694191.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,UKWU MANGO,04/16/05/016,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/11649/11649-1677687073.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,CENTRAL SCHOOL ODEKPE III,04/16/05/019,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/122087/122087-1677686573.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,"T. JUNCTION BY IBEKWE STREET, IYIOWA",04/16/05/032,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/122100/122100-1677686410.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,UMUASIBELE VILLAGE SQUARE,04/16/05/023,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/122091/122091-1677686086.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,"ENYINWA STREET BY TRANSFORMER,IYIOWA",04/16/05/044,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/122112/122112-1677685436.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,"ST.JAMES JUNCTION BY FIVE CEES HOTEL,IYIOWA",04/16/05/041,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/122109/122109-1677518573.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,"ISUNJABA STREET JUNCTION, IYIOWA",04/16/05/043,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/122111/122111-1677518474.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,OKOTI MARKET SQUARE I,04/16/05/025,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/122093/122093-1677518271.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,OBANWAGU  II,04/16/05/013,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/11646/11646-1677517827.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,OKOTI  II,04/16/05/024,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/122092/122092-1677517650.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,C.P.S OHITA,04/16/05/011,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3187/ward/18496/pu/11644/11644-1677517516.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,OPEN SPACE BY ARIDON STREET JUNCTION SCHOOL ROAD.,04/16/05/035,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/05/pu/035/035-1677374828.pdf,false
ANAMBRA,OGBARU,IYIOWA/ODEKPE/OHITA,OKOTI,04/16/05/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/16/ward/05/pu/005/005-1677368120.pdf,false
