state_name,lga_name,ward_name,name,pu_code,document.url,has_old_documents
ANAMBRA,ONITSHA-NORTH,WATER-SIDE CENTRAL  1,FRANCIS/NOTTIGE OPEN SPACE,04/17/13/007,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/13/pu/007/007-1677362313.pdf,false
ANAMBRA,ONITSHA-NORTH,WATER-SIDE CENTRAL  1,OREZE PRY. SCHOOL III,04/17/13/010,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/13/pu/010/010-1677402531.pdf,false
ANAMBRA,ONITSHA-NORTH,WATER-SIDE CENTRAL  1,CHIRST CHURCH SQUARE I,04/17/13/006,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/13/pu/006/006-1677395074.pdf,false
ANAMBRA,ONITSHA-NORTH,WATER-SIDE CENTRAL  1,"16, AFFAR STREET PLAYGROUND",04/17/13/004,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/13/pu/004/004-1677381567.pdf,false
ANAMBRA,ONITSHA-NORTH,WATER-SIDE CENTRAL  1,CHRIST CHURCH SQUARE II,04/17/13/013,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/13/pu/013/013-1677381209.pdf,false
ANAMBRA,ONITSHA-NORTH,WATER-SIDE CENTRAL  1,"OPEN SPACE BESIDE NO. 21 NOTTIDGE STREET, BESIDE STERLING BANK",04/17/13/017,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/13/pu/017/017-1677372914.pdf,false
ANAMBRA,ONITSHA-NORTH,WATER-SIDE CENTRAL  1,OREZE PRY. SCHOOL IV,04/17/13/011,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/13/pu/011/011-1677361749.pdf,false
ANAMBRA,ONITSHA-NORTH,WATER-SIDE CENTRAL  1,OREZE PRY. SCHOOL II,04/17/13/002,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/13/pu/002/002-1677362949.pdf,false
ANAMBRA,ONITSHA-NORTH,WATER-SIDE CENTRAL  1,"OPEN SPACE BESIDE NO. 3 AFFAR STREET, ADJACENT TO AFFAR LANE",04/17/13/015,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/13/pu/015/015-1677362767.pdf,false
ANAMBRA,ONITSHA-NORTH,WATER-SIDE CENTRAL  1,WILLIAMS/FIRST BANK,04/17/13/005,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/13/pu/005/005-1677362499.pdf,false
ANAMBRA,ONITSHA-NORTH,WATER-SIDE CENTRAL  1,OREZE PRY. SCHOOL I,04/17/13/001,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/13/pu/001/001-1677361781.pdf,false
ANAMBRA,ONITSHA-NORTH,WATER-SIDE CENTRAL  1,OGALONYE/NWOKEDI OPEN SPACE II,04/17/13/012,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/13/pu/012/012-1677361709.pdf,false
ANAMBRA,ONITSHA-NORTH,WATER-SIDE CENTRAL  1,"20, FRANCIS/AFFAR STREET",04/17/13/009,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/13/pu/009/009-1677360902.pdf,false
ANAMBRA,ONITSHA-NORTH,WATER-SIDE CENTRAL  1,OPEN SPACE BESIDE NO. 2 ALLEN STREET/FRANCIS STREET,04/17/13/016,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/13/pu/016/016-1677360407.pdf,false
ANAMBRA,ONITSHA-NORTH,WATER-SIDE CENTRAL  1,OPEN SPACE BESIDE NO. 11 BRIGHT STREET/BLUE DIAMOND PAZA,04/17/13/014,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/13/pu/014/014-1677359824.pdf,false
ANAMBRA,ONITSHA-NORTH,WATER-SIDE CENTRAL  1,OGALONYE/NUOKEDI OPEN SPACE I,04/17/13/003,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/13/pu/003/003-1677358756.pdf,false
ANAMBRA,ONITSHA-NORTH,WATER-SIDE CENTRAL  1,ILO ORAJA SQUARE,04/17/13/008,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/13/pu/008/008-1677358559.pdf,false
